second,sad,angry,happy,neutral,class
0,1.0,0.0,0.0049349368,0.0,0
1,1.0,0.0,0.0009226203,0.0,0
2,0.009750545,0.00031843781,0.9999943,2.3841858e-07,2
3,0.9999999,0.0026510954,6.2584877e-07,0.0,0
4,0.98832595,0.043044448,0.040959448,0.010834038,0
5,0.007456243,0.99820054,0.02830106,5.4895878e-05,1
6,1.0,0.0,5.0842762e-05,0.0,0
7,0.9981406,0.01897639,0.03413549,0.00090387464,0
8,1.0,0.0,0.0,0.0,0
9,1.0,0.0,0.0,0.0,0
10,0.9999962,0.00010123849,0.0023027956,8.702278e-06,0
11,0.9999999,0.00014680624,2.4914742e-05,1.3709068e-06,0
12,0.99337065,0.019558221,0.06718096,0.007433772,0
13,0.98762226,0.009913236,0.062488735,0.00085940957,0
14,0.73875487,7.212162e-05,0.9983548,1.2516975e-06,2
15,0.9999579,8.2314014e-05,0.049485028,2.2947788e-06,0
16,1.0,0.0,0.0,0.0,0
17,0.010133356,0.00022900105,0.99997354,3.6656857e-06,2
18,0.9010042,0.1382316,0.124797136,0.023307234,0
19,0.9990016,0.007610947,0.009522229,0.00092729926,0
20,1.0,0.0,0.0,0.0,0
21,1.0,0.0,0.0,0.0,0
22,0.9975968,0.0005930662,0.20012364,3.7670135e-05,0
23,0.9996875,0.003922373,0.0041490793,0.0015124083,0
24,0.9972472,9.089708e-06,0.9590217,5.9604645e-08,0
25,1.0,0.0,5.364418e-07,0.0,0
26,1.0,0.0,2.9802322e-08,0.0,0
27,1.0,1.2010336e-05,0.0007972419,0.0,0
28,1.0,0.0,0.0,0.0,0
29,1.0,0.0,4.172325e-07,0.0,0
30,1.0,1.4901161e-07,2.026558e-06,0.0,0
31,1.0,1.1920929e-07,0.0,0.0,0
32,0.98833406,0.0004772246,0.8572424,1.0550022e-05,0
33,0.0,1.0,0.0,0.0,1
34,0.040314317,0.036077768,0.9812294,0.012226254,2
35,1.0,6.556511e-07,9.804964e-06,8.940697e-08,0
36,1.0,0.0,0.001145035,0.0,0
37,1.0,0.0,0.0,0.0,0
38,1.0,0.0,0.0,0.0,0
39,0.009855241,0.9999981,3.1590462e-06,0.0,1
40,1.0,0.0,0.0,0.0,0
41,0.9731183,0.0055488944,0.12742415,0.017251492,0
42,1.0,0.0,2.3841858e-07,0.0,0
43,0.00693208,0.987932,0.18525526,7.751584e-05,1
44,0.9258418,0.00024792552,0.0011183918,0.42006996,0
45,0.044424146,0.99178946,0.08092648,5.066395e-07,1
46,1.0,0.0,0.0,0.0,0
47,0.99628633,0.8298663,2.026558e-06,5.9604645e-08,0
48,1.0,8.940697e-08,2.1159649e-05,0.0,0
49,1.0,0.0,0.0,0.0,0
