second,sad,angry,happy,neutral,class
0,1.0,0.0,0.0,0.0,0
1,1.0,4.5895576e-06,7.897615e-06,0.0,0
2,1.0,0.0,3.2782555e-07,2.95043e-06,0
3,0.9999732,0.0002488792,0.00042757392,0.0004209578,0
4,0.17757818,0.000101447105,0.00047799945,0.99173135,3
5,0.2418282,4.142523e-06,0.87089694,0.059007972,2
6,0.99798936,0.0005784929,0.13954729,0.000109523535,0
7,1.0,0.0,8.136034e-06,0.0,0
8,1.0,0.0,0.0,0.0,0
9,0.0006456673,0.0,2.3841858e-07,1.0,3
10,0.0,0.0,0.0,1.0,3
11,1.0,0.0,2.9802322e-08,0.0,0
12,0.003354758,0.0,2.9802322e-08,0.9999993,3
13,0.99999845,9.8347664e-05,0.00010842085,7.033348e-06,0
14,1.0,9.536743e-07,1.1205673e-05,0.0,0
15,0.0,0.0,0.0,1.0,3
16,0.9475601,0.0,0.0,0.96906984,3
17,1.0,3.874302e-07,5.811453e-06,0.0,0
18,0.9999999,9.357929e-06,1.5079975e-05,5.90086e-06,0
19,1.0,0.0,0.0,0.0,0
20,0.6814894,0.00026077032,0.0005468726,0.90301335,3
21,2.9802322e-08,6.1690807e-06,0.46258718,0.99999857,3
22,0.0,0.0,0.0,1.0,3
23,1.0,4.172325e-07,1.6957521e-05,8.940697e-08,0
24,1.0,0.0,0.0,0.0,0
25,0.9999987,4.0709972e-05,0.0008722544,4.4703484e-06,0
26,0.0,0.0,0.0,1.0,3
27,0.889302,1.3113022e-06,5.662441e-07,0.6204233,0
28,0.0,0.0,0.0,1.0,3
29,0.9906554,0.00038599968,0.13406545,0.0006953478,0
30,0.9998776,0.00024202466,0.022453487,0.00010508299,0
31,0.99776256,0.067118645,0.0028190017,0.00032249093,0
32,0.9998604,1.4573336e-05,0.00013792515,0.0050955713,0
33,5.9604645e-08,0.0,0.0,1.0,3
34,0.9987062,6.0796738e-05,0.00020697713,0.02140528,0
35,1.0,1.5497208e-06,2.9802322e-07,1.5050173e-05,0
36,1.0,0.0,0.0,0.0,0
37,0.9252521,1.23381615e-05,0.00014799833,0.45199707,0
38,0.0008311868,0.0005521476,0.03240803,0.9996898,3
39,0.9999994,6.5863132e-06,3.8444996e-05,1.2606382e-05,0
40,0.0,0.0,0.0,1.0,3
41,0.99999976,0.00019302964,0.00027433038,8.046627e-07,0
42,0.0,0.0,0.0,1.0,3
43,0.66715413,0.020683497,0.43249348,0.07596806,0
44,1.0,0.0,0.0056141913,0.0,0
45,1.0,0.0,0.0,0.0,0
