second,sad,angry,happy,neutral,class
0,0.99221087,0.023759753,0.020695776,0.015461832,0
1,1.0,0.0,1.1920929e-07,0.0,0
2,0.0027008653,3.2424927e-05,0.00011155009,0.99999034,3
3,0.99582016,0.0034222007,0.14741245,7.6025724e-05,0
4,1.0,0.0,0.0,0.0,0
5,1.0,0.0,2.682209e-07,0.0,0
6,0.50879866,0.0006451905,0.0071546435,0.6701482,3
7,0.90005386,0.00049480796,0.8946276,0.00014740229,0
8,1.0,0.0,0.0,0.0,0
9,1.0,0.0,0.0,0.0,0
10,0.99999917,4.887581e-06,0.0013504028,2.6524067e-06,0
11,0.9999982,9.23872e-07,9.23872e-07,0.0013480484,0
12,1.4901161e-07,0.0,0.0,1.0,3
13,0.9999946,0.0003541708,0.0024682581,1.2218952e-06,0
14,1.0,0.0,1.4901161e-07,0.0,0
15,0.9999151,0.00020009279,0.11435631,6.556511e-07,0
16,5.364418e-07,0.0,0.0,1.0,3
17,0.0,0.0,0.0,1.0,3
18,0.9999948,3.889203e-05,0.03249359,5.9604645e-08,0
19,0.9891049,0.0005314946,0.36720684,0.00036641955,0
20,1.0,0.0,3.784895e-06,0.0,0
21,0.0,0.0,0.0,1.0,3
22,1.0,0.0,0.0,0.0,0
23,0.2904183,0.00015100837,0.038665593,0.79704845,3
24,0.41537446,0.107432246,0.70569944,0.018150657,2
25,1.0,0.0,0.0,0.0,0
26,0.3490495,0.013430834,0.0034825802,0.8641732,3
27,0.9999887,9.23872e-06,0.0104672015,5.066395e-07,0
28,1.0,0.0,0.0,0.0,0
29,1.0,0.0,0.0,0.0,0
30,1.0,2.9802322e-08,0.0,9.000301e-06,0
31,0.010822713,0.061865598,0.9946777,0.00012022257,2
32,0.00026255846,0.0029179752,0.99985576,0.0011526048,2
33,1.0,0.0,0.0,0.0,0
34,1.0,1.1920929e-07,1.1026859e-06,8.940697e-08,0
35,0.0032543242,0.0,1.0,0.0,2
36,0.9992162,2.8371811e-05,0.29347944,5.275011e-06,0
37,0.13695896,0.0010035932,0.0014421344,0.9869354,3
38,1.0,0.0,9.23872e-07,0.0,0
39,0.99999917,1.013279e-06,0.029782355,0.0,0
40,1.0,1.1920929e-07,1.3709068e-06,0.0,0
41,0.9979224,0.0025316477,0.0021966994,0.023961961,0
42,1.0,2.682209e-07,2.9802322e-06,0.0,0
43,9.536743e-07,8.940697e-08,1.0,0.0,2
44,0.00769791,0.00043842196,0.91804266,0.8015945,2
45,0.16086426,0.0023561716,0.005864799,0.98188955,3
46,0.9200339,0.0,0.9999998,0.0,2
47,0.012284011,0.0022185743,0.027432024,0.9970871,3
48,1.0,0.0,2.9802322e-08,0.0,0
49,0.9996841,3.1650066e-05,0.03481099,5.349517e-05,0
50,0.013122052,0.00023335218,0.000992626,0.99965394,3
51,0.83149016,0.0021061301,0.8491216,0.0010180473,2
52,0.03590572,0.0024211407,0.99665016,0.005499333,2
53,0.6211738,0.10962322,0.31412423,0.13859707,0
54,0.015358627,0.00010511279,0.99998444,1.6987324e-06,2
55,1.0,6.854534e-07,5.2541494e-05,0.0,0
56,0.0,0.0,1.0,0.0,2
57,1.0,0.0,2.9802322e-08,0.0,0
58,1.0,1.7881393e-07,8.940697e-08,0.0,0
59,1.0,0.0,8.940697e-08,0.0,0
60,0.9999999,6.2584877e-07,0.00037658215,0.0,0
61,1.0,0.0,0.0,0.0,0
62,0.99999744,1.1980534e-05,0.00034308434,7.066131e-05,0
63,0.06903249,0.99842036,0.0014747381,5.9187412e-05,1
64,1.0,0.0,0.0,0.0,0
65,1.0,0.0,0.0,0.0,0
66,1.0,0.0,1.758337e-06,0.0,0
67,0.021554083,2.7656555e-05,0.17437124,0.97470605,3
68,0.94110954,0.0019528866,0.0013291836,0.20501372,0
69,0.99999905,0.0,0.0,0.0031689703,0
70,1.0,0.0,2.0861626e-07,0.0,0
71,0.03742978,0.047490448,0.9751138,0.020771235,2
72,1.6093254e-06,0.0,2.9802322e-08,1.0,3
73,1.0,0.0,0.0,0.0,0
74,1.0,0.0,0.0,0.0,0
75,1.0,0.0026856065,6.556511e-06,0.0,0
76,1.0,0.0,0.0,0.0,0
77,1.0,0.0,0.0,0.0,0
78,0.8732765,5.7816505e-06,0.99855995,1.7881393e-07,2
79,0.88490987,0.06489763,0.4545242,0.00019615889,0
80,0.7888974,2.732873e-05,2.8729439e-05,0.8725352,3
81,1.0,0.0,0.0,0.0,0
82,1.0,0.0,5.9604645e-08,0.0,0
83,1.0,0.0,0.0,0.0,0
84,0.99960554,0.001681745,0.0016896129,0.0034281313,0
85,0.99999976,0.0,0.00023511052,7.4505806e-07,0
86,0.17941388,0.07542667,0.11729857,0.7324119,3
87,0.003453195,0.00065383315,0.96825004,0.52950346,2
88,1.0,0.0,0.0,0.0,0
89,1.0,0.0,0.0,0.0,0
90,0.019602656,0.00018909574,0.999563,0.0009627342,2
91,0.00787285,0.022336632,0.98896956,0.038418442,2
92,1.0,0.0,5.2452087e-06,0.0,0
93,0.0,0.0,0.0,1.0,3
94,0.99874395,0.00040960312,0.22104573,7.113814e-05,0
95,0.16801086,0.0012682378,0.090672195,0.84294236,3
96,0.99681354,3.2514334e-05,0.025039762,0.0011150539,0
97,0.9999628,4.2915344e-06,0.07530704,4.4107437e-06,0
98,0.99999917,9.5665455e-06,2.1666288e-05,0.00011524558,0
99,2.399087e-05,0.0,1.0,0.0,2
100,0.8777868,8.583069e-06,0.9990151,8.940697e-08,2
101,0.9995611,3.8564205e-05,0.00014230609,0.013619721,0
102,0.005284995,0.01051563,0.998772,0.0039308667,2
103,1.0,0.0,1.2218952e-06,0.0,0
104,0.018164843,0.000666976,0.0047737956,0.99879944,3
105,0.029114842,0.45736185,0.9065194,1.2934208e-05,2
106,0.0,0.0,0.0,1.0,3
107,0.97196865,0.000159055,0.32227862,0.0024501383,0
108,0.0002746582,6.219745e-05,1.9043684e-05,0.999998,3
109,1.0,0.0,4.172325e-07,0.0,0
110,1.0,0.0,0.0,0.0,0
111,0.099639386,6.943941e-06,2.6226044e-06,0.9991741,3
112,0.0,1.1920929e-07,1.0,0.0010291636,2
113,1.0,0.0,0.0,0.0,0
114,1.0,0.0,0.0017278492,0.0,0
115,0.9999938,1.9997358e-05,0.016969621,3.2782555e-07,0
116,1.0,0.0,1.1920929e-07,0.0,0
117,0.99999046,6.4343214e-05,0.00041273236,7.212162e-05,0
118,1.0,8.940697e-08,1.9967556e-06,0.0,0
119,0.0001667738,1.4901161e-07,1.0,0.0,2
120,0.9993826,0.0021642745,0.008927405,0.0014198422,0
121,1.0,0.0,0.0,0.0,0
122,1.0,0.0,0.0,0.0,0
123,1.0,0.0,0.0,0.0,0
124,0.00033825636,0.0,1.0,0.0,2
125,1.0,0.0,0.0022911727,0.0,0
126,0.9999817,9.983778e-06,0.052293837,5.066395e-07,0
127,0.9999821,0.00021585822,0.021739483,2.95043e-06,0
Class count,82,1,23,22
