second,sad,angry,happy,neutral,class
0,0.9999999,1.6212463e-05,0.00021320581,9.23872e-07,0
1,0.99987894,0.0048347414,0.004976064,0.00018492341,0
2,0.99812436,0.00041413307,0.059758067,0.0005681813,0
3,0.09395707,0.025090516,0.031493276,0.96730644,3
4,0.61377376,0.23930487,0.29075444,0.038574815,0
5,2.0861626e-07,0.0,1.0,0.0,2
6,1.0,0.0,5.9604645e-08,0.0,0
7,0.19128466,0.00062447786,0.99832654,0.0002913773,2
8,1.0,9.536743e-07,1.013279e-06,0.0,0
9,0.024594784,0.004441917,0.011542439,0.99689853,3
10,0.02433452,0.00072580576,0.99988556,4.4882298e-05,2
11,1.0,0.0,0.000110954046,0.0,0
12,0.051788718,0.9792701,0.10133958,0.0011723042,1
13,0.00055512786,0.938125,0.79903,4.7683716e-07,1
14,0.0,1.0,1.6391277e-05,0.0,1
15,1.0,0.0,0.0,0.0,0
16,1.0,0.0,2.95043e-06,0.0,0
17,1.0,0.0,0.0,0.0,0
18,1.0,0.0,0.0,0.0,0
19,0.99835646,0.0045776367,0.05066088,0.0005508661,0
20,0.059690475,0.000888139,0.99978167,4.5895576e-06,2
21,0.9072422,0.458345,0.014110357,5.5223703e-05,0
22,0.0007445812,0.002260983,0.99996614,4.2825937e-05,2
23,1.0,0.0,0.0,0.0,0
24,1.0,0.0,1.4901161e-07,0.0,0
25,1.0,0.0,0.00020959973,0.0,0
26,0.07251382,0.76902115,0.023963392,0.48884255,1
27,0.99998796,0.0,0.9978051,0.0,0
28,1.0,0.0,0.0,0.0,0
29,0.4248139,0.7437005,0.29674816,3.477931e-05,1
30,1.0,2.7120113e-06,6.3180923e-06,1.1920929e-07,0
31,0.9360738,0.0066020787,0.17961052,0.027873844,0
32,0.6603663,0.00960198,0.4765247,0.06856918,0
33,0.44606146,0.51113385,0.23820806,0.0013389885,1
34,1.0,0.0,0.0,0.0,0
35,0.99997574,5.8412552e-05,0.01679647,4.4703484e-07,0
36,0.0,0.0,1.0,0.0,2
37,0.12197989,0.043842554,0.96720827,0.0015485287,2
38,1.0,0.0,1.3679266e-05,0.0,0
39,0.0,0.0,1.0,0.0,2
40,1.0,0.0,0.0,0.0,0
41,0.9981568,0.030933052,0.013127148,0.0012311041,0
42,0.9999999,1.7881393e-07,0.009990722,0.0,0
43,0.9805249,0.09422162,0.003323108,0.0018283129,0
44,0.9965619,0.009059191,0.16564646,0.00043705106,0
45,0.9999995,4.798174e-06,0.006930381,8.940697e-08,0
46,1.0,0.0,0.0,0.0,0
47,0.0003758371,0.99993336,0.0071561337,3.9041042e-06,1
48,0.9959581,0.015747875,0.054151535,0.002518922,0
49,0.99996763,0.00060263276,0.0007285476,0.00030443072,0
50,1.0,0.0,0.0,0.0,0
51,1.0,0.0,0.0,0.0,0
52,1.0,0.0,0.0,0.0,0
53,1.0,0.0,0.0,0.0,0
54,0.0,0.0,1.0,0.0,2
55,0.9934665,0.043283015,0.03290519,1.3113022e-05,0
56,1.2829066e-05,0.00013217954,1.0,0.0,2
Class count,38,7,10,2
