second,sad,angry,happy,neutral,class
0,1.0,0.0,0.0,0.0,0
1,1.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,1.0,3
3,0.015443414,7.1525574e-07,1.5497208e-06,0.9999924,3
4,0.057243675,0.00035080314,0.999479,4.3272972e-05,2
5,0.9422072,0.02236545,0.05553955,0.053843737,0
6,0.9984413,0.0052957237,0.008985281,0.0055081844,0
7,0.9980297,0.0048621595,0.0066877306,0.006730646,0
8,0.12854895,0.00430578,0.021721035,0.965634,3
9,0.019219846,0.00012275577,0.00017508864,0.99986064,3
10,1.642108e-05,0.0,3.5762787e-07,1.0,3
11,1.0,5.9604645e-08,0.0,4.440546e-06,0
12,0.99963146,9.468198e-05,7.0512295e-05,0.029904485,0
13,1.0,5.185604e-06,4.0233135e-06,3.874302e-07,0
14,1.1920929e-07,0.0,0.0,1.0,3
15,0.92489934,0.0014748573,0.012267619,0.11310431,0
16,1.5765429e-05,3.4570694e-06,3.233552e-05,1.0,3
17,0.40498713,0.17963329,0.47866458,0.04251522,2
18,0.024349272,0.07695243,0.00073352456,0.9944252,3
19,0.0,0.0,0.0,1.0,3
20,0.00045967102,5.9604645e-08,2.2351742e-06,0.9999999,3
21,9.953976e-06,5.9604645e-08,0.0,1.0,3
22,1.0,0.0,0.0,0.0,0
23,1.0,0.0,0.0,0.0,0
24,0.99999833,1.719594e-05,9.804964e-06,0.0003451407,0
25,0.0,0.0,1.0,0.0,2
26,0.9692378,2.6106834e-05,0.0009976327,0.101198256,0
27,0.004533708,7.480383e-06,3.4302473e-05,0.9999907,3
28,0.26548257,7.480383e-06,2.6494265e-05,0.9964976,3
29,1.0,0.0,0.002129227,0.0,0
30,0.9983627,1.4901161e-07,1.4901161e-07,0.4200707,0
31,0.99696755,0.0053808093,0.020362198,0.0020178556,0
32,1.0,0.0,0.0,0.0,0
33,0.99997365,1.4990568e-05,3.373623e-05,0.0033271313,0
34,1.758337e-06,0.0,0.0,1.0,3
35,0.114706635,1.23381615e-05,1.2457371e-05,0.9990334,3
36,0.0012232959,0.0017971992,6.377697e-06,0.9999876,3
37,0.0022277832,0.0,1.4901161e-07,1.0,3
38,2.6613474e-05,1.7881393e-07,3.2782555e-07,1.0,3
39,1.0,0.0,0.0,0.0,0
40,3.5762787e-07,0.0,0.0,1.0,3
41,0.99786556,0.00031358004,0.00013002753,0.05583477,0
42,1.0,0.0,0.0,0.0,0
43,0.9999999,1.886487e-05,1.180172e-05,8.255243e-06,0
44,0.9999998,1.4305115e-06,5.066395e-07,6.455183e-05,0
45,1.0,0.0,0.0,1.9967556e-06,0
46,0.7778224,3.170967e-05,5.209446e-05,0.8024262,3
47,0.99999976,6.943941e-06,2.1457672e-06,4.312396e-05,0
48,0.7583376,0.009641111,0.022840321,0.42087027,0
49,0.017904162,0.00014537573,9.289384e-05,0.9998056,3
50,0.9999813,3.913045e-05,0.00052061677,0.00026503205,0
51,0.99389136,0.0152677,0.02635622,0.0100648105,0
52,0.92882574,0.012331128,0.07358003,0.11205444,0
53,0.0,0.0,0.0,1.0,3
54,0.28024778,0.81635135,0.010492593,0.037402123,1
55,0.99435514,0.0,0.0,0.7817383,0
56,6.943941e-06,0.0,0.0,1.0,3
57,0.9999783,3.8415194e-05,0.00086668134,0.0002592802,0
58,0.9969568,0.00036209822,0.0014932454,0.022498608,0
59,2.6196241e-05,0.0,0.0,1.0,3
60,0.6590039,0.37816572,0.056737363,0.07580581,0
61,2.8908253e-06,0.0,0.0,1.0,3
62,1.0,2.0492028e-08,0.0,0.0001601185,0
Class count,34,1,3,25
