second,sad,angry,happy,neutral,class
0,1.0,0.0,0.0,0.0,0
1,0.0,1.0,0.0,0.0,1
2,1.0,8.165836e-06,6.2316656e-05,0.0,0
3,1.0,0.0,0.0,0.0,0
4,0.9999449,0.00096541643,0.0012461245,0.0005951524,0
5,1.0,2.682209e-07,7.122755e-06,0.0,0
6,0.006920427,0.00029730797,0.99991846,0.00015205145,2
7,1.0,1.0102987e-05,1.603365e-05,5.662441e-07,0
8,0.9999974,0.00025492907,0.00014299154,7.817149e-05,0
9,0.26309556,0.07708076,0.8115718,0.049101084,2
10,0.9992494,0.0026415884,0.015214056,0.0018483996,0
11,1.0,0.0,0.0,0.0,0
12,1.0,1.4007092e-06,1.3113022e-06,9.536743e-07,0
13,1.0,0.0,0.0,0.0,0
14,0.00060650706,1.4483929e-05,0.00010687113,0.9999987,3
15,1.0,2.682209e-07,4.7683716e-07,6.854534e-07,0
16,4.0233135e-06,0.99999976,0.0036002994,0.0,1
17,0.9368982,0.002301067,0.8773953,9.7334385e-05,0
18,1.0,1.1920929e-06,5.9604645e-08,8.940697e-08,0
19,0.6530262,0.0,0.9999998,0.0,2
20,1.0,0.0,0.0,0.0,0
21,1.0,0.0,0.0,0.0,0
22,0.0022923946,0.022233248,0.9995325,0.00013455749,2
23,0.9999941,6.16312e-05,0.0026648343,1.2874603e-05,0
24,0.90463054,0.03762269,0.037120283,0.17272449,0
25,1.0,0.0,0.0,0.0,0
26,1.0,1.6391277e-06,1.013279e-06,1.7881393e-07,0
27,1.0,0.0,0.0,0.0,0
28,0.0036580265,0.003936738,0.99939626,0.002173543,2
29,1.0,0.0,0.0,0.0,0
30,1.0,0.0,0.0,0.0,0
31,1.0,0.0,0.0,0.0,0
32,0.009361982,0.0004608631,0.11362809,0.9952991,3
33,0.9999888,0.00013509393,0.00031891465,0.00023365021,0
34,0.99999845,0.0006263852,0.009197652,1.1920929e-07,0
35,0.9969454,0.023076922,0.032928377,0.002447784,0
36,0.9999995,8.520484e-05,6.556511e-06,5.0365925e-06,0
37,0.9885426,0.0044317544,0.0060091615,0.055998772,0
38,0.16894788,0.00034746528,0.0007825494,0.99178815,3
39,1.0,0.0,0.0,0.0,0
40,1.0,2.9802322e-08,6.1690807e-06,0.0,0
41,1.0,0.0,0.0,0.0,0
42,1.0,0.0,0.0,0.0,0
43,0.058587104,0.0003463924,0.0009061694,0.9982064,3
44,0.26949042,0.014855355,0.06871101,0.7502214,3
45,1.0,0.0,0.0,0.0,0
46,1.0,0.0,0.0,0.0,0
47,1.0,0.0,0.0,0.0,0
48,0.6106549,0.03751853,0.039871514,0.55001754,0
49,0.0,0.0,0.0,1.0,3
50,0.092787445,0.0004943907,0.99788594,0.00044229627,2
51,0.26437193,0.28736973,0.40541282,0.10902071,2
52,0.051353127,0.0062410235,0.99733585,0.0010370612,2
53,0.06277245,0.0035615265,0.97686046,0.03111121,2
54,0.9999887,0.00015237927,8.773804e-05,0.0007542074,0
55,0.99107516,0.20637599,0.0077174306,0.0010035932,0
56,0.7721483,0.010365099,0.028533578,0.38435417,0
57,0.86556923,0.03368935,0.09574464,0.14156932,0
58,0.9999891,0.0002142787,3.695488e-05,0.0006189048,0
59,1.0,7.748604e-07,6.279349e-05,0.0,0
60,0.9999971,7.4505806e-07,0.11511031,0.0,0
61,0.0988372,0.85816264,0.26997513,0.016660154,1
62,0.9999473,3.2782555e-07,0.33621758,8.940697e-08,0
63,1.0,0.0,0.0,0.0,0
64,0.9999967,1.40964985e-05,0.00024467707,0.000108897686,0
65,1.0,6.854534e-07,1.66893e-06,0.0,0
66,0.00033050776,0.999027,0.08020967,4.4703484e-07,1
67,1.0,0.0,0.0,0.0,0
68,0.5585788,0.12494302,0.63880813,0.008368552,2
69,0.37593484,0.002789408,0.30145103,0.29096913,0
70,0.105317384,0.76224184,0.047702253,0.3132906,1
71,0.73122376,0.002724439,0.03923452,0.38012362,0
72,0.9938288,0.0019735098,0.00023648143,0.02049464,0
73,0.3422386,0.0050313175,0.9613935,0.0028318763,2
74,0.78659374,0.13245544,0.06145966,0.06036216,0
75,0.008195281,3.5107136e-05,0.9999931,4.798174e-06,2
Class count,53,5,12,6
