second,sad,angry,happy,neutral,class
0,0.99937856,0.00048545003,0.0011430979,0.0035455525,0
1,0.9938432,0.0045472085,0.25280127,5.8054924e-05,0
2,1.0,0.0,2.9802322e-08,0.0,0
3,0.999174,0.00028559566,0.0014273226,0.009906173,0
4,1.0,0.0,0.0,0.0,0
5,1.0,0.0,0.0,0.0,0
6,9.506941e-06,6.556511e-07,1.0,1.2814999e-06,2
7,1.0,0.0,3.5762787e-07,0.0,0
8,0.99999976,2.413988e-06,1.9967556e-06,1.3679266e-05,0
9,0.99999803,2.3186207e-05,0.0015710294,7.748604e-07,0
10,1.0,0.0,0.0,0.0,0
11,0.07021895,0.022717506,0.9869994,7.778406e-06,2
12,0.94855195,0.017141014,0.45028225,0.0006119907,0
13,0.7522322,0.00019341707,0.98718524,2.6255846e-05,2
14,0.35314843,0.0046905577,0.8703785,0.012731731,2
15,0.005501628,0.027618676,0.9989731,2.6732683e-05,2
16,1.0,0.0,0.0,0.0,0
17,1.0,0.0,0.0,0.0,0
18,1.0,0.0,0.0,0.0,0
19,0.00011244416,0.0,1.0,0.0,2
20,1.0,5.066395e-07,1.8775463e-06,0.0,0
21,1.0,1.218915e-05,3.8713217e-05,0.0,0
22,0.0859963,0.015344024,0.95858467,0.0037503839,2
23,0.9992484,0.00020170212,0.09506148,3.3408403e-05,0
24,0.66173965,0.03828004,0.573413,0.0599733,0
25,1.0,0.0,0.0,0.0,0
26,0.99999785,0.0001783073,0.0014312565,2.9802322e-07,0
27,1.0,3.3974648e-06,0.00015804172,0.0,0
28,1.0,0.0,0.0,0.0,0
29,0.10405752,0.7056505,0.15313989,0.109346956,1
30,1.0,1.1920929e-07,5.6624413e-06,1.1920929e-07,0
31,1.0,0.0,0.0,0.0,0
32,0.12916276,1.6093254e-06,0.99996823,4.4703484e-07,2
33,0.00013682246,3.5762787e-07,0.0001283884,0.99999976,3
34,0.8247365,8.3476305e-05,0.9989505,2.682209e-07,2
35,0.9958861,0.0029005408,0.0174222,0.011630893,0
36,0.99968266,0.0004348755,0.0004695654,0.009302378,0
37,0.004243344,0.020822346,0.99760723,0.0014078021,2
38,1.0,0.0,0.0,0.0,0
39,1.0,0.0,0.0,0.0,0
40,0.9970526,0.026081532,0.0252949,0.0025222898,0
41,1.0,2.0861626e-07,3.3080578e-05,0.0,0
42,0.051258475,0.96437037,0.032284826,0.035617024,1
43,1.0,4.5597553e-06,1.8179417e-05,0.0,0
44,0.9999999,2.4735928e-06,2.2053719e-06,5.915761e-05,0
45,1.0,1.1920929e-07,7.4505806e-07,0.0,0
46,0.9476484,0.32544878,0.025619835,0.0019627512,0
47,1.0,2.9802322e-08,5.9604645e-08,0.0,0
48,1.0,1.7881393e-07,5.9962273e-05,0.0,0
49,0.015047014,0.08449826,0.9894077,0.0007264018,2
50,1.0,0.0,0.0001232028,0.0,0
51,0.00075674057,1.1026859e-06,0.99999994,0.0,2
52,0.87640953,0.014064163,0.5243026,0.008410871,0
53,1.847744e-06,1.5199184e-06,1.0,0.0,2
54,0.11645523,0.0014458597,0.9984002,0.0001487732,2
55,1.0,0.0,0.0,0.0,0
56,0.0,1.0,0.0,0.0,1
57,1.0,0.0,2.0861626e-07,0.0,0
58,1.0,0.0,1.1116266e-05,0.0,0
59,1.0,0.0,0.0,0.0,0
60,0.007390082,6.1392784e-06,1.6003847e-05,0.9999882,3
61,0.17566022,0.0034157038,0.0051344633,0.97881806,3
62,0.60377526,0.027327597,0.56209797,0.023101628,0
63,1.0,0.0,0.0,0.0,0
64,0.9999999,5.2452087e-06,5.64456e-05,1.3113022e-06,0
65,0.9920333,0.0017993748,0.03335145,0.0076655746,0
66,1.0,1.5467405e-05,1.937151e-06,1.1920929e-07,0
67,1.0,2.9802322e-08,0.0,0.0,0
68,1.0,0.0,0.0,0.0,0
69,0.11126,0.00016313791,0.001808852,0.9937588,3
70,0.99990344,0.0001655817,0.00010383129,0.006916076,0
71,0.034255177,0.0014500618,0.9992565,2.7865171e-05,2
72,1.0,2.9802322e-08,0.0,0.0,0
73,1.0,0.0,0.0,0.0,0
74,2.4735928e-06,1.7881393e-07,1.0,2.9802322e-08,2
75,0.86973,2.682209e-07,0.9962922,2.9206276e-06,2
76,1.0,0.0,1.5377998e-05,0.0,0
77,1.0,4.7683716e-07,1.4901161e-07,0.0,0
78,0.99999774,0.016575485,5.236268e-05,1.7881393e-07,0
79,0.16163889,2.3841858e-06,0.99995595,1.0430813e-06,2
80,0.97232366,0.00046658516,0.0029984117,0.058506787,0
81,0.04960826,0.28864622,0.7230467,0.1699068,2
82,1.0,1.6093254e-06,0.0035041869,0.0,0
83,1.0,0.0,0.0,0.0,0
84,1.0,0.0,0.0,0.0,0
85,0.9971334,0.00038540363,0.0005380213,0.032385617,0
86,0.24598783,0.0015646219,0.060896873,0.7032981,3
87,1.0,0.0,0.0,0.0,0
88,0.2343243,0.0011053383,0.9975156,0.00020965934,2
89,1.0,1.4901161e-07,2.9802322e-08,0.0,0
90,0.9999831,0.00076675415,9.6321106e-05,0.00010356307,0
91,0.9999999,4.7296286e-05,6.133318e-05,2.9802322e-08,0
92,0.59451336,0.6222018,0.06577045,0.00013190508,1
93,1.0,1.7881393e-07,2.1755695e-06,0.0,0
94,1.0,0.0,0.0,0.0,0
95,1.0,0.0,0.0,0.0,0
96,0.95298374,0.30829832,0.056599617,2.014637e-05,0
97,0.9999937,0.002070099,9.7215176e-05,5.6028366e-06,0
98,1.0,2.0861626e-07,5.9604645e-08,0.0,0
99,1.0,0.0,0.0,0.0,0
100,1.7881393e-07,2.9802322e-07,1.0,0.0,2
101,1.0,0.0,0.0,0.0,0
102,0.0055215955,2.682209e-07,1.0,0.0,2
103,0.9803126,0.003042072,0.0033331811,0.14200759,0
104,1.0,0.0,0.0,0.0,0
105,0.15699127,0.00019329786,0.0006403327,0.99510676,3
106,0.94637436,0.059332132,0.02895552,0.0038034022,0
107,1.0,0.0,0.0,0.0,0
108,1.0,0.0,1.7881393e-07,0.0,0
109,0.9891344,0.0003052354,0.052219033,0.001476407,0
110,0.008784831,0.0,1.0,0.0,2
111,1.0,0.0,0.0,0.0,0
112,1.0,8.940697e-08,1.7881393e-07,1.4901161e-07,0
113,1.0,0.0,0.0,0.0,0
114,0.18524608,0.00015452504,0.9964772,0.000109910965,2
115,0.99979734,0.0013358593,0.03001234,8.6545944e-05,0
116,0.008117378,0.000121325254,0.00042131543,0.9999331,3
117,0.9943702,0.008094013,0.023688525,0.002211213,0
118,0.997913,0.00030347705,0.17501327,0.00025612116,0
119,0.98602563,0.0016687512,0.063232034,0.014015734,0
120,0.5639848,0.00042909384,0.5452145,0.03589821,0
121,0.0015689433,1.2308359e-05,0.9999993,2.115965e-06,2
122,0.9996643,0.0029754937,0.06072375,2.104044e-05,0
123,1.0,0.0,0.0,0.0,0
124,1.0,0.0,0.0,1.1920929e-07,0
125,0.99996483,0.0011028051,0.00050127506,0.0007854998,0
126,0.0,0.0,0.0,1.0,3
127,1.0,0.0,0.0,0.0,0
128,1.0,0.0,0.0,0.0,0
129,1.0,0.0,1.4901161e-07,0.0,0
130,1.0,0.0,0.0,0.0,0
131,0.7809092,0.0006509125,0.0011316538,0.7035723,0
132,1.0,0.0,0.0,0.0,0
133,0.29532075,0.0,1.0,0.0,2
134,0.9999873,0.0012682974,1.0162592e-05,4.49121e-05,0
135,0.0006684661,3.2782555e-07,1.0,0.0,2
136,0.10699612,0.93113613,0.0015492439,0.11628491,1
137,1.0,0.0,0.0,0.0,0
138,0.98949164,0.0001142323,0.00057157874,0.047211498,0
139,0.967298,0.004393637,0.062336147,0.034375846,0
140,1.0,5.9604645e-07,8.6426735e-07,3.784895e-06,0
141,1.0,0.0,5.5730343e-06,0.0,0
142,0.00077718496,0.034087718,0.9987398,0.00015223026,2
143,1.0,0.0,0.0,0.0,0
144,0.9985844,0.0002683103,0.004545778,0.006224513,0
145,1.0,8.940697e-08,5.9604645e-08,0.0,0
146,1.0,1.937151e-06,8.6426735e-07,0.0,0
147,0.9999603,0.0019527376,0.00077822804,0.00018396974,0
148,1.0,0.0,0.0,0.0,0
149,0.03934297,0.08830589,0.9419266,0.0011069775,2
Class count,108,5,29,8
