second,sad,angry,happy,neutral,class
0,5.662441e-07,0.94684637,0.9915547,0.0,2
1,1.0,0.0,0.0,0.0,0
2,5.364418e-07,0.00013515353,0.00017407537,0.9999998,3
3,0.0,1.0,6.6012144e-05,0.0,1
4,0.008112878,0.020515949,0.9972122,0.0014500022,2
5,0.0027275681,0.9979082,0.04107091,0.0009766221,1
6,0.9999139,0.00035881996,0.111055166,4.8577785e-06,0
7,0.00090664625,0.0064989924,0.99990785,6.16014e-05,2
8,0.99972755,4.145503e-05,0.2636895,3.7550926e-06,0
9,0.0,1.0,0.0,0.0,1
10,1.0,0.0,8.165836e-06,0.0,0
11,0.0,1.0,0.0,0.0,1
12,0.9942057,0.047573775,0.04249561,0.0023967624,0
13,0.99998975,0.016478896,0.00020858645,2.95043e-06,0
14,0.13190767,0.7502018,0.13467515,0.13110194,1
15,0.0006286204,0.030036896,0.9997021,4.6491623e-06,2
16,0.99999994,2.7090311e-05,1.3619661e-05,7.1525574e-07,0
17,0.0007648766,0.9999212,0.016706914,3.3676624e-06,1
18,0.006236911,0.97210526,0.24118173,0.003464818,1
19,9.9658966e-05,0.0,1.0,0.0,2
20,0.00011008978,6.854534e-07,1.0,0.0,2
21,2.0444393e-05,3.0398369e-06,1.0,1.4901161e-07,2
22,0.99980485,0.00045838952,0.00022509694,0.00642696,0
23,0.00012007356,0.0013214648,0.9999976,6.2584877e-07,2
24,5.865097e-05,0.9999999,3.1352043e-05,0.0,1
25,0.0003708899,0.99957955,0.06622654,2.387166e-05,1
26,0.032631814,0.028280854,0.90959036,0.3232283,2
27,0.003242135,0.007572949,0.9956516,0.03244266,2
28,0.0017511547,0.008153021,0.9995949,0.00059619546,2
29,3.516674e-06,2.1398067e-05,1.0,5.9604645e-08,2
30,0.99987316,0.00045260787,0.079313874,4.917383e-06,0
31,0.9986757,0.0072202682,0.023543715,0.0020472705,0
32,0.009327918,0.0024482012,0.016964287,0.99829835,3
33,0.0004248321,0.018076628,0.9949986,0.055918008,2
