second,sad,angry,happy,neutral,class
0,1.0,0.0,0.0,0.0,0
1,0.99997747,0.0017657578,0.0009146631,0.00013753772,0
2,1.0,2.0563602e-06,6.3478947e-06,2.9802322e-08,0
3,0.00019183755,3.874302e-07,2.7120113e-06,0.99999994,3
4,1.0,0.0,0.0,0.0,0
5,0.99999964,5.6028366e-06,2.348423e-05,3.376603e-05,0
6,0.06940821,6.452203e-05,0.00025755167,0.99902356,3
7,0.0,0.0,0.0,1.0,3
8,0.99999964,2.002716e-05,8.881092e-06,6.952882e-05,0
9,0.0,0.0,1.3411045e-06,1.0,3
10,0.8859453,8.940697e-08,1.4901161e-07,0.9816839,3
11,0.00211218,1.3113022e-06,8.165836e-06,0.99999785,3
12,0.9984351,0.0004810393,0.00023159385,0.019280821,0
13,0.9839673,0.0058893263,0.013990253,0.029543906,0
14,0.99988997,3.966689e-05,0.014787406,9.265542e-05,0
15,0.0,0.0,0.0,1.0,3
16,1.0,0.0,0.0,4.4703484e-06,0
17,0.99999976,5.7131052e-05,0.0002182126,2.2053719e-06,0
18,1.0,0.0,0.0,0.0,0
19,7.480383e-06,0.0,5.9604645e-08,1.0,3
20,1.0,0.0,0.0,0.0,0
21,0.0,0.0,0.0,1.0,3
22,1.0,0.0,0.0,0.0,0
23,0.0,0.0,0.0,1.0,3
24,0.9344319,0.07754451,0.075814545,0.06308541,0
25,0.99983704,0.00047409534,0.0006199479,0.0027035773,0
26,0.08656201,1.847744e-06,5.185604e-06,0.9997784,3
27,0.97608495,8.404255e-05,5.9336424e-05,0.4101665,0
28,1.0,2.3841858e-07,5.9604645e-08,2.3841858e-07,0
29,0.98824644,0.004692495,0.025075793,0.03380385,0
30,1.0,0.0,0.0,0.0,0
31,0.99997765,8.493662e-06,1.0848045e-05,0.00024098158,0
32,0.0,0.0,0.0,1.0,3
33,1.0,0.0,0.0,0.0,0
34,0.70775944,0.0019125044,0.0021629333,0.7204298,3
35,0.0,0.0,0.0,1.0,3
36,0.94304264,0.003006339,0.035523266,0.08463803,0
37,0.095620126,0.0014261603,0.00491634,0.991742,3
38,0.7371125,0.0002233684,0.00047558546,0.79805696,3
39,0.04694584,0.00026488304,0.00032383204,0.9991676,3
40,0.0,0.0,0.0,1.0,3
41,0.0,0.0,0.0,1.0,3
42,2.7120113e-06,8.6426735e-07,3.5762787e-07,1.0,3
43,1.0,0.0,0.0,0.0,0
44,0.9995444,0.0006926954,0.009065777,0.0018886328,0
45,1.0,5.066395e-07,4.440546e-06,4.1127205e-06,0
46,1.0,0.0,0.0,0.0,0
47,5.662441e-07,0.0,7.301569e-06,1.0,3
48,0.0,0.0,0.0,1.0,3
49,0.0030482113,0.9934107,0.13449094,0.0010687411,1
50,1.0430813e-06,0.0,0.0,1.0,3
51,0.0010959506,1.4603138e-06,3.874302e-06,0.9999994,3
52,1.0,0.0,0.0,0.0,0
53,0.9812496,0.01544109,0.052230746,0.027060032,0
54,0.09896174,0.019220412,0.0382531,0.97171044,3
55,1.0,5.9604645e-08,1.7881393e-07,5.364418e-07,0
56,0.00028413534,0.0,0.0,1.0,3
57,1.0,0.0,5.9604645e-08,3.2782555e-07,0
58,0.0,0.0,0.0,1.0,3
59,1.5079975e-05,0.0,0.0,1.0,3
60,0.99419975,0.0036658943,0.0038745403,0.04624811,0
61,1.0,0.0,0.0,0.0,0
62,1.0,0.0,0.0,5.9604645e-08,0
63,0.9606371,0.0005349815,0.27536058,0.0047241747,0
64,1.0,0.0,0.0,0.0,0
65,0.9381653,0.016139299,0.08999503,0.051692784,0
66,0.0,0.0,0.0,1.0,3
67,0.110298276,0.1085754,0.067596495,0.7652942,3
68,0.003942102,1.5169382e-05,2.387166e-05,0.9999937,3
69,1.0,0.0,0.0,0.0,0
70,1.0,0.0,0.0,0.0,0
71,2.682209e-07,3.0100346e-06,1.0,0.0002053082,2
72,0.999045,0.001255691,0.024030626,0.0013032258,0
73,0.31146252,1.4901161e-07,8.940697e-08,0.99926305,3
74,0.0,0.0,0.0,1.0,3
75,0.99995244,0.00011086464,5.659461e-05,0.0038117468,0
76,0.20614567,0.010630965,0.1189045,0.83633256,3
77,0.0,0.0,0.0,1.0,3
78,1.0,2.5629997e-06,1.1533499e-05,7.927418e-06,0
79,0.0,0.0,0.0,1.0,3
80,5.9604645e-08,0.0,0.0,1.0,3
81,0.99999964,2.682209e-06,1.0251999e-05,3.4034252e-05,0
82,1.0,0.0,2.0861626e-07,0.0,0
83,1.0,0.0,0.0,0.0,0
84,1.0,8.940697e-08,0.0,1.1920929e-07,0
85,0.9986956,0.08932468,0.031554103,6.854534e-07,0
86,0.0038689673,1.4573336e-05,0.0002771616,0.99997747,3
87,0.0,0.0,0.0,1.0,3
88,0.9952413,0.0006714463,0.00080633163,0.0629521,0
89,0.0,0.0,0.0,1.0,3
90,0.9938158,3.0875206e-05,4.374981e-05,0.23322445,0
91,0.0,0.0,0.0,1.0,3
92,1.0,0.0,0.0,0.0,0
93,0.84875005,0.008101642,0.6552943,0.004445046,0
94,0.0033811936,1.7630884e-05,0.00068496534,0.99998164,3
Class count,51,1,1,42
