second,sad,angry,happy,neutral,class
0,1.0,0.0,0.0,0.0,0
1,0.009682924,2.115965e-06,0.99999976,0.0,2
2,0.64536273,0.02581492,0.798102,0.014727056,2
3,0.99957615,0.0012731552,0.013009548,0.0011572242,0
4,0.9997478,3.4302473e-05,0.00060370564,0.0016040802,0
5,0.99267113,0.00017273426,0.03987834,0.0062746108,0
6,1.0,8.940697e-08,8.940697e-08,0.0,0
7,0.014593095,0.0,0.0,0.99999964,3
8,1.0,3.2782555e-07,1.30832195e-05,0.0,0
9,1.0,3.1888485e-06,3.9726496e-05,0.0,0
10,0.99977946,4.6938658e-05,7.3075294e-05,0.009697288,0
11,1.0,0.0,1.5556812e-05,0.0,0
12,1.0,0.0,4.798174e-06,0.0,0
13,0.0038096905,3.5762787e-06,2.1964312e-05,0.9999966,3
14,0.9999604,2.7120113e-06,0.012095958,4.172325e-06,0
15,1.0,0.0,0.0,0.0,0
16,0.99997157,6.338954e-05,0.00013008714,0.00034746528,0
17,0.99999964,2.5629997e-06,6.303191e-05,5.930662e-06,0
18,1.0,0.0,0.0,0.0,0
19,1.0,0.0,0.0,0.0,0
20,0.79239005,0.00036251545,0.0006189048,0.81743586,3
21,1.0,0.0,0.0,0.0,0
22,0.9682958,0.0077732205,0.021959007,0.0704397,0
23,1.0,0.0,2.9802322e-08,0.0,0
24,1.0,0.0,7.5399876e-06,0.0,0
25,0.9976922,0.009565562,0.03453332,0.0028127134,0
26,0.9972646,5.2303076e-05,0.013417721,0.0037173927,0
27,0.04507321,0.50920844,0.45231676,0.14517075,1
28,1.0,0.00025057793,0.00078484416,0.0,0
29,1.0,0.0,0.0,0.0,0
30,0.9989338,0.0057690144,0.021873951,0.00016403198,0
31,1.0,0.0,0.0,0.0,0
32,0.99940264,0.0003297329,0.00747028,0.0023587048,0
33,0.002907008,0.0001001358,0.99999094,6.943941e-06,2
34,1.0,0.0,0.0,0.0,0
35,0.9907825,0.0026217103,0.008894861,0.049909204,0
36,9.658933e-05,0.0,1.1920929e-07,1.0,3
37,0.074441254,0.00038293004,0.021807551,0.98343664,3
38,0.99891394,0.000367105,0.0009461343,0.010902345,0
39,0.0075609386,0.014068097,0.99912924,0.0007750988,2
40,0.97077066,0.008824617,0.64416724,1.424551e-05,0
41,1.0,0.0,0.0,0.0,0
42,0.9999942,0.0005046129,0.0007866323,4.568696e-05,0
43,1.0,3.424287e-05,8.031726e-05,0.0,0
44,0.9999932,0.003417194,0.010419816,2.9802322e-08,0
45,1.0,0.0,0.0,0.0,0
46,1.0,0.0,0.0,0.0,0
47,1.0,0.0,8.046627e-07,0.0,0
48,1.0,0.0,0.0,0.0,0
49,0.9999999,4.440546e-06,1.552701e-05,1.4066696e-05,0
50,1.0,0.0,1.4901161e-07,0.0,0
51,0.9999999,3.5762787e-07,0.0006669462,1.7881393e-07,0
52,0.20624727,0.010508031,0.161304,0.7522142,3
53,1.0,1.4901161e-07,5.1409006e-05,0.0,0
54,0.9994451,5.6803226e-05,0.00016725063,0.031644493,0
55,1.0,0.0,6.556511e-07,0.0,0
56,0.99995136,0.0003015697,5.4627657e-05,0.0014876127,0
57,0.9999999,7.343292e-05,7.748604e-07,2.682209e-07,0
58,0.9999999,1.8894672e-05,6.9737434e-05,5.066395e-07,0
59,0.002138853,9.208918e-06,0.9999958,1.3709068e-05,2
60,1.1920929e-07,0.0,0.0,1.0,3
61,1.0,0.0,0.0,0.0,0
62,0.98150873,0.00014448166,0.5425037,0.00045385957,0
63,1.0,0.0,0.0,0.0,0
64,0.99999857,4.801154e-05,0.0010136664,1.0371208e-05,0
65,0.080347985,0.016184479,0.57602066,0.6097792,3
66,1.0,1.9669533e-06,8.940697e-06,2.9802322e-08,0
67,0.99997914,0.00044041872,0.0022992492,7.587671e-05,0
68,0.0,0.0,0.0,1.0,3
69,1.0,0.0011045039,0.0032987595,0.0,0
70,1.0,3.2782555e-07,0.0,0.0,0
71,1.0,0.0,0.0,0.0,0
72,1.0,0.0,0.0,0.0,0
73,1.0,7.4505806e-07,0.00038182735,8.940697e-08,0
74,0.005480796,8.940697e-08,2.682209e-07,0.9999994,3
75,0.42254132,3.2186508e-05,0.99970883,1.7881393e-07,2
76,1.0,0.0,0.0,0.0,0
77,0.7243774,0.0034092367,0.0023537278,0.68266356,0
78,0.9977492,0.0005401969,0.3605966,1.3530254e-05,0
79,1.0,0.0,1.2516975e-06,0.0,0
80,0.8292561,0.00051000714,0.99361515,1.7881393e-07,2
81,5.9604645e-08,1.0,1.7881393e-07,0.0,1
82,1.0,1.3709068e-05,3.874302e-07,0.0,0
83,1.0,0.0,2.9802322e-08,0.0,0
84,1.0,0.0,0.0,0.0,0
85,1.0,0.0,0.0,0.0,0
86,1.0,0.0,0.0,0.0,0
87,0.9997978,0.0025157034,0.0066899657,0.00013294816,0
88,2.5391579e-05,1.4901161e-07,1.0430813e-06,1.0,3
89,0.99794316,5.492568e-05,0.40698177,2.104044e-05,0
90,1.0,0.0,0.0,0.0,0
91,0.9409637,0.065475106,0.24703392,0.0051700175,0
92,0.3563962,0.00083234906,0.00092449784,0.9507899,3
93,0.9999999,8.6426735e-07,0.00041392446,8.940697e-08,0
94,1.0,0.0,4.6283007e-05,0.0,0
