second,sad,angry,happy,neutral,class
0,0.9999783,4.3988228e-05,9.468198e-05,0.0009587705,0
1,0.032330185,3.0219555e-05,0.99998534,1.4603138e-06,2
2,0.9999854,2.9623508e-05,0.074394405,1.1920929e-07,0
3,1.0,0.0,0.0,0.0,0
4,0.0,1.0,0.0,0.0,1
5,0.7173007,0.004829049,0.8514229,0.0006941557,2
6,0.9999726,0.00075906515,0.00576967,4.3302774e-05,0
7,1.0,0.0,0.0,0.0,0
8,0.9611078,0.028915226,0.16199493,0.025987267,0
9,0.0004439354,0.003709346,0.9998066,0.0021343231,2
10,0.00059095025,0.0074341,0.99994457,1.4454126e-05,2
11,0.0027095377,4.172325e-07,0.9999984,3.0994415e-06,2
12,1.0,2.9802322e-08,0.0,5.9604645e-08,0
13,0.51209176,0.05543551,0.26778612,0.3380464,0
14,0.9999999,2.3841858e-06,2.0325184e-05,2.3841858e-06,0
15,0.79536146,0.0018895864,0.93421316,0.00022488832,2
16,1.0,0.0,2.9802322e-07,0.0,0
17,0.23084357,2.4080276e-05,0.9997593,6.854534e-07,2
18,1.0,0.0,0.0,0.0,0
19,1.1920929e-06,5.364418e-07,1.0,3.5762787e-07,2
20,0.0,0.0,0.0,1.0,3
21,0.11953756,0.09915838,0.0900363,0.8977971,3
22,0.97686476,0.00076392293,0.27968672,0.00018045306,0
23,0.003957391,0.9972981,0.056877285,0.0025943816,1
24,1.0,3.6656857e-06,0.00015899539,1.4901161e-07,0
25,1.0,0.0,0.0,0.0,0
26,0.9924283,0.00077041984,0.01719448,0.013976961,0
27,0.0,4.5895576e-06,1.0,0.0,2
28,0.45727116,0.016777039,0.62731165,0.041915298,2
29,0.9999996,0.00039175153,0.00011822581,1.8179417e-06,0
30,0.9999931,5.066395e-06,0.016314775,1.4007092e-06,0
31,0.014746755,0.004797846,0.9974639,0.004469663,2
32,0.9999999,1.3381243e-05,1.3142824e-05,4.4703484e-06,0
33,0.9998224,0.00049710274,0.0011240244,0.0036490262,0
34,7.212162e-05,0.9999844,0.013489991,1.3113022e-06,1
35,0.99973905,0.0010091662,0.001842916,0.0012859404,0
36,0.9999999,7.7188015e-06,6.747246e-05,3.9041042e-06,0
37,0.09210846,0.050719887,0.97106206,0.0009189844,2
38,1.0,2.9802322e-07,7.867813e-06,0.0,0
39,0.00028824806,0.0,1.0,0.0,2
40,0.9999985,3.7550926e-06,0.0127232075,2.9802322e-07,0
41,1.0,0.0,5.9604645e-08,0.0,0
42,1.0,0.0,0.0,0.0,0
43,1.0,0.0,0.0,0.0,0
44,1.0,6.0796738e-06,1.1175871e-05,2.9802322e-07,0
45,0.0007172823,0.27367866,0.9961369,7.301569e-06,2
46,0.0031949282,0.91310525,0.68226695,0.00030976534,1
47,0.99733484,0.009406418,0.008804113,0.0092176795,0
48,0.09648386,0.14598492,0.84926856,0.05418557,2
49,1.0,0.0,0.0,0.0,0
50,0.99999774,0.0002271831,0.008829713,2.0861626e-07,0
51,0.10921353,0.0,0.99999994,0.0,2
52,0.0035092235,9.5427036e-05,0.9999807,1.23381615e-05,2
53,0.020140171,0.07927802,0.48627332,0.8061944,3
54,0.42494234,0.10864213,0.2794911,0.28455842,0
55,0.0028560758,0.00017756224,0.022873461,0.9991989,3
56,1.0,2.7120113e-06,6.198883e-06,5.841255e-06,0
57,0.95171547,0.039526314,0.07605356,0.034411788,0
58,1.0,0.0,0.0078983605,0.0,0
59,0.11697623,0.34165138,0.0019444227,0.84066635,3
60,1.0,0.0,2.9802322e-07,0.0,0
61,0.984634,0.008849531,0.32116133,0.0015990734,0
62,0.99994624,0.00017797947,5.748868e-05,0.001310885,0
63,0.9999994,1.3053417e-05,4.172325e-06,0.0001500547,0
64,1.0,0.0,0.0,0.0,0
65,0.66944003,0.0005466044,0.98720694,0.00023517013,2
66,0.3515205,0.05513701,0.26547658,0.51377106,3
67,1.0,0.0,1.7881393e-07,0.0,0
68,0.6629797,0.00017094612,0.72187245,0.010282099,2
69,1.0,1.1473894e-05,3.799796e-05,1.4603138e-06,0
70,0.30863765,0.00014832616,0.0001680553,0.98492247,3
71,0.9999948,0.0,0.88916737,0.0,0
72,1.0,1.1026859e-06,9.000301e-06,0.0,0
73,1.0,0.0,0.0,0.0,0
74,0.9999994,7.143617e-05,0.00021451712,8.493662e-06,0
75,0.03911057,0.9755646,0.10694948,0.00086683035,1
76,0.9997151,0.0062280893,0.0043745935,0.0004903674,0
77,0.99972737,2.682209e-07,0.6563348,1.4901161e-07,0
78,0.00055390596,2.4408102e-05,0.048303425,0.99991006,3
79,1.0,0.0,0.0,0.0,0
80,0.016320407,0.009057432,0.9991567,0.000323534,2
81,0.2269293,0.0005094707,0.9930204,0.0016108453,2
82,0.99999994,1.5497208e-06,6.914139e-05,3.5762787e-07,0
83,5.9604645e-08,4.172325e-07,1.0,0.0,2
84,0.99999994,1.847744e-05,0.00011193752,3.5762787e-07,0
85,0.010772765,0.054827005,0.9890193,0.014123231,2
86,1.2189606e-05,0.00015238672,0.9999995,9.039796e-06,2
Class count,50,5,24,8
