second,sad,angry,happy,neutral,class
0,1.0,2.9802322e-08,2.861023e-06,0.0,0
1,1.0,0.0,0.0,0.0,0
2,0.4397486,0.39821643,0.0062818527,0.118928045,0
3,0.9846648,0.0043356717,0.016712606,0.03714314,0
4,1.0,0.0,0.0,0.0,0
5,0.028469712,0.00062680244,0.9998389,1.4364719e-05,2
6,3.2782555e-07,0.99768627,0.90136254,2.9802322e-08,1
7,0.010470897,0.0016075373,0.06651375,0.9938357,3
8,0.97725433,0.0026429892,0.5924792,0.00016200542,0
9,0.0021775067,0.9606295,0.26295745,0.004040271,1
10,0.0,0.0,1.0,0.23184699,2
11,3.84748e-05,1.0,9.050965e-05,0.0,1
12,0.75978696,0.51303977,0.08119139,0.005858153,0
13,0.00011470914,0.16228715,0.999075,1.3887882e-05,2
14,0.0011225641,6.2286854e-05,0.9999746,0.001070559,2
15,0.0019914508,0.9999998,7.0631504e-06,0.0,1
16,0.0,1.0,4.9471855e-06,0.0,1
17,0.0002616942,0.74102336,0.8724717,0.010498732,2
18,0.0,1.0,3.5762787e-07,0.0,1
19,0.99999964,0.0035198927,0.00012654066,0.0,0
20,1.0,2.9802322e-08,0.035086185,0.0,0
21,0.039049774,0.49496555,0.5085256,0.092157185,2
22,0.01829353,0.991194,0.0758684,0.0028531253,1
23,0.84121215,0.111035645,0.75380886,3.3438206e-05,0
24,0.007268697,0.9783663,0.2280227,6.854534e-06,1
25,4.976988e-05,0.99999714,0.0030718744,2.2649765e-06,1
26,0.0032488406,0.00016590953,0.025432616,0.9994495,3
27,0.0011148751,0.0038841069,0.9998366,0.00054359436,2
28,0.0,0.0,1.0,0.0,2
29,0.9999399,3.1888485e-06,0.80947924,0.0,0
30,1.0,1.1920929e-07,2.9802322e-08,0.0,0
31,0.421448,0.00031673908,0.9988843,3.966689e-05,2
32,0.012422949,0.99976265,0.0011104345,8.404255e-06,1
33,0.9985009,0.00026512146,0.07868159,0.000117599964,0
34,0.00015720725,1.4901161e-07,0.00018304586,0.99999964,3
35,0.13838986,0.041716486,0.8184795,0.20231313,2
36,5.364418e-07,1.0,5.0395727e-05,0.0,1
37,4.261732e-06,1.0,0.0007776022,0.0,1
38,0.00020584464,0.9999559,0.020537108,2.592802e-06,1
39,0.00046679378,0.017076641,0.999486,0.0010512471,2
40,1.937151e-05,1.5079975e-05,1.0,0.0,2
41,2.5331974e-06,1.0,0.00026884675,2.9802322e-07,1
42,0.0006695092,0.9570453,0.77343726,2.759695e-05,1
43,3.8444996e-06,4.0203333e-05,0.8494115,0.99904376,3
44,0.99999976,1.3113022e-06,0.007974982,0.0,0
45,2.5510788e-05,0.9999999,9.10759e-05,1.4901161e-07,1
46,0.99988794,2.9802322e-08,0.94166297,0.0,0
47,0.9999992,3.5226345e-05,0.00012153387,2.0861626e-05,0
48,0.99999976,0.00075778365,3.3438206e-05,8.34465e-07,0
49,0.0,1.0,0.0,0.0,1
50,1.0,0.0,0.0037997365,0.0,0
51,8.881092e-06,0.9999999,0.00022780895,0.0,1
52,0.29559904,0.010649145,0.0069812834,0.92067397,3
53,0.865915,0.7668723,0.009364665,3.9726496e-05,0
54,0.0147147775,0.034525007,0.99231875,0.0054106414,2
55,0.0,0.0,1.0,0.0,2
56,0.63121665,0.10947788,0.57207084,0.002810955,0
57,0.0019499063,0.99793214,0.091840506,3.8653612e-05,1
58,0.0,0.0,0.0,1.0,3
59,0.0042770505,0.009140879,0.99659765,0.042709142,2
60,0.99995506,0.004591882,0.012705386,4.5895576e-06,0
61,0.8205757,0.7762095,0.00078460574,0.00023671985,0
62,0.98535806,0.016420156,0.018521816,0.043690592,0
63,0.97908235,0.015595883,0.13927785,0.013724387,0
64,0.0,0.0,0.0,1.0,3
65,1.0,1.4901161e-06,7.748604e-07,0.0,0
66,0.99996316,0.0005337,0.035994858,2.643466e-05,0
67,0.0,1.0,1.680851e-05,0.0,1
68,0.0,1.1920929e-07,1.0,0.0,2
69,0.13978997,0.7975023,0.14939705,0.009997845,1
70,1.0,4.7683716e-07,2.9802322e-08,5.662441e-07,0
71,3.1143427e-05,0.9999988,0.002973199,2.3841858e-07,1
72,0.027521431,0.0029086173,0.026729286,0.99480915,3
73,0.99807036,0.012460113,0.058530033,0.00078356266,0
74,3.3676624e-06,0.9999677,0.07255298,0.0,1
75,0.0031580627,0.009367466,0.99974394,0.00044244528,2
76,0.0009784102,0.97333634,0.23826239,0.00038808584,1
77,1.0,0.0,3.2782555e-07,0.0,0
78,0.9968665,0.08549133,0.017584264,0.00015816092,0
79,0.9999994,8.46386e-06,0.0020044446,8.6426735e-07,0
80,8.940697e-08,3.874302e-07,1.0,0.0,2
81,0.119045734,0.18205518,0.77192783,0.10466987,2
82,0.0039984286,0.00025478005,0.35251898,0.99261576,3
83,1.0,0.0,0.0,0.0,0
84,0.00096064806,0.0003145337,0.9999951,1.847744e-05,2
85,0.0,1.0,0.0,0.0,1
86,0.9998815,0.000105172396,4.8607588e-05,0.011775881,0
87,0.0,1.0,0.0,0.0,1
88,0.19397187,0.026228964,0.98851943,6.0498714e-05,2
89,1.719594e-05,0.06033492,0.9997871,5.942583e-05,2
90,1.0,0.0,0.0,0.0,0
91,0.0,1.0,1.7881393e-07,0.0,1
92,0.01297307,0.9910504,0.07578793,0.007873535,1
