second,sad,angry,happy,neutral,class
0,1.0,0.0,0.0,0.0,0
1,0.99939024,0.0015398562,0.0031581223,0.004831165,0
2,0.007247627,0.0007620156,0.02268365,0.9986767,3
3,1.0,0.0,0.0,0.0,0
4,1.0,7.7188015e-06,2.270937e-05,4.4703484e-07,0
5,0.9999995,1.8686056e-05,4.61936e-06,0.00010672212,0
6,1.0,5.185604e-06,1.6123056e-05,0.0,0
7,0.9999954,0.0010971129,0.0036146343,1.1771917e-05,0
8,0.037204325,3.784895e-06,0.9999938,2.682209e-07,2
9,1.0,2.8967857e-05,1.5497208e-06,5.9604645e-08,0
10,0.66467357,0.01967612,0.86349905,0.00027164817,2
11,1.0,0.0,0.0,0.0,0
12,0.99940693,0.0007868409,0.09190726,8.094311e-05,0
13,0.94745076,0.06732267,0.029580802,0.06720409,0
14,0.089697,0.42086387,0.013509989,0.792189,3
15,0.01852557,0.31091523,0.88470876,0.015995294,2
16,1.0,0.0,0.0,0.0,0
17,1.0,1.9967556e-06,2.9802322e-07,9.864569e-06,0
18,1.0,1.1920929e-05,7.0631504e-06,0.0,0
19,0.0152083635,0.0042512715,0.79878414,0.8445537,3
20,0.25778967,0.04592803,0.10453525,0.7266265,3
21,0.9999999,9.018183e-05,0.0003479123,2.9802322e-08,0
22,1.13248825e-05,1.7881393e-07,1.0,0.0,2
23,0.9999401,0.0024323165,0.0031744838,6.41346e-05,0
24,0.0,1.0,0.0,0.0,1
25,0.99999905,2.6255846e-05,4.8696995e-05,0.00014698505,0
26,1.0,0.0,0.0,0.0,0
27,1.0,4.4703484e-07,1.4901161e-07,0.0,0
28,0.9999992,0.0006865561,0.0019868016,1.4901161e-07,0
29,1.0,2.1755695e-06,8.34465e-07,1.66893e-06,0
30,0.9999136,0.00480482,0.0010801852,0.00050896406,0
31,1.0,0.0,0.0,0.0,0
32,0.14204267,0.00015869737,0.00044691563,0.9963188,3
33,1.0,0.0,2.0861626e-07,0.0,0
34,0.99999726,5.045533e-05,0.0005585253,2.8133392e-05,0
35,1.0,1.4901161e-07,1.4901161e-07,1.3411045e-06,0
36,2.115965e-06,1.0,2.9474497e-05,0.0,1
37,0.99999905,2.4735928e-06,1.013279e-06,0.00087574124,0
38,1.0,2.0861626e-07,5.066395e-07,8.940697e-08,0
39,0.00013592839,3.9577484e-05,0.99969006,0.15715963,2
40,0.0037047267,0.6863546,0.7117128,0.0077381134,2
41,0.00013238192,1.1920929e-07,2.4437904e-06,0.9999999,3
42,0.99994427,0.000677377,0.00043609738,0.0010922551,0
43,1.0,1.0728836e-06,6.2584877e-07,1.5795231e-06,0
44,0.48467898,0.06966832,0.68155193,0.044424087,2
45,0.8610225,0.0023053288,0.0017942786,0.57182884,0
46,0.99999994,3.7252903e-06,2.7745962e-05,9.447336e-06,0
47,0.99943507,0.001152575,0.0018547177,0.0068975687,0
48,0.044084907,0.001881957,0.004560441,0.99702907,3
49,0.037772834,1.1563301e-05,1.770258e-05,0.99984664,3
50,0.0020535588,2.321601e-05,0.9999988,2.682209e-07,2
51,1.0,1.3709068e-06,2.682209e-07,5.9604645e-06,0
52,0.0010394454,8.940697e-08,6.7055225e-06,0.99999964,3
53,1.0,0.0,4.172325e-07,0.0,0
54,1.0,0.0,0.0,0.0,0
55,0.99998754,0.00053456426,0.0016471744,5.5104494e-05,0
56,1.0,0.0,0.0,0.0,0
57,1.0,2.0861626e-07,1.1920929e-07,0.0,0
58,1.0,0.0,0.0,0.0,0
59,0.042470098,0.0005736351,0.0012270808,0.9985657,3
60,0.9432683,0.008789122,0.042063385,0.10899848,0
61,1.0,0.0,0.0,0.0,0
62,1.0,0.0,0.0,0.0,0
63,0.99999416,4.1157007e-05,4.8190355e-05,0.0001859963,0
64,1.0,0.0,0.0,0.0,0
65,1.0,0.0,0.0,0.0,0
66,0.0,0.0,1.0,0.0,2
67,0.9857502,0.017173886,0.09193662,0.002905935,0
68,0.00042441487,8.940697e-08,3.2782555e-07,1.0,3
