second,sad,angry,happy,neutral,class
0,0.98318017,0.0054278076,0.09608546,0.017988443,0
1,1.0,1.2904406e-05,6.8843365e-06,2.9802322e-08,0
2,1.0,2.0861626e-07,5.9604645e-08,0.0,0
3,1.0,1.4901161e-07,0.0,0.0,0
4,0.99909717,4.6908855e-05,0.0076780617,0.0007892847,0
5,0.9996058,5.9604645e-08,0.9931512,0.0,0
6,0.114013225,4.61936e-05,0.014162004,0.84693605,3
7,1.0,3.5762787e-07,3.2782555e-07,1.2040138e-05,0
8,1.0,0.0,1.7881393e-07,1.1920929e-07,0
9,0.0,0.0,0.0,1.0,3
10,0.0,0.0,0.0,1.0,3
11,0.99994665,1.1920929e-06,4.172325e-07,0.018087804,0
12,0.17352042,0.063856125,0.0022984445,0.87753665,3
13,1.0,0.0,0.0,0.0,0
14,0.99999964,0.0,0.96083105,0.0,0
15,0.9993557,0.0002644956,0.002966404,0.0051047504,0
16,0.99799424,0.0014342964,0.0416902,0.00036919117,0
17,0.011746705,2.9623508e-05,7.253885e-05,0.9999588,3
18,0.0,0.0,0.0,1.0,3
19,0.99989784,2.3186207e-05,0.00029310584,0.0018984675,0
20,4.172325e-07,0.0,0.0,1.0,3
21,1.0,0.0,0.0,0.0,0
22,0.9999998,0.0,0.022549987,0.0,0
23,6.1392784e-05,2.9802322e-07,4.762411e-05,0.9999999,3
24,0.0,8.237362e-05,0.0,1.0,3
25,0.9999999,1.1056662e-05,3.3468008e-05,0.0,0
26,0.00012984872,2.9802322e-08,2.9802322e-07,1.0,3
27,0.18537307,0.0001591444,0.0004567504,0.98968536,3
28,5.9604645e-08,0.0,7.748604e-07,1.0,3
29,0.0,0.0,0.0,1.0,3
30,0.9999944,4.979968e-05,5.6177378e-05,0.00045081973,0
31,0.9999776,0.005998254,0.00078859925,1.1861324e-05,0
32,1.0,0.0,0.0,0.0,0
33,1.0,1.3709068e-06,1.4513731e-05,0.0,0
34,0.99999726,2.8967857e-05,0.0076900423,2.0861626e-07,0
35,0.73568994,0.37784466,0.3029994,1.5497208e-06,0
36,0.15313557,0.13254645,0.91326666,0.0009403825,2
37,0.15275136,0.003020227,0.98804545,0.003259927,2
38,0.000118047,2.7954578e-05,5.492568e-05,0.9999995,3
39,0.0,0.0,0.0,1.0,3
40,0.40473008,0.0012903512,0.056298137,0.52552485,3
41,1.0,0.0,0.009137154,0.0,0
42,0.97147167,0.0027061105,0.015513331,0.051505953,0
43,0.9999175,3.07858e-05,0.000112980604,0.003550768,0
44,0.9999969,6.9737434e-06,0.00062185526,4.452467e-05,0
45,1.0,0.0,0.0,0.0,0
46,0.98334754,0.0003094077,0.00022566319,0.28476748,0
47,1.0,0.0,4.0233135e-06,0.0,0
48,0.0016287267,0.9999635,0.0012246668,2.938509e-05,1
49,1.0,0.0,0.0,0.0,0
50,1.0,2.9802322e-07,2.3841858e-05,1.0728836e-06,0
51,1.0,0.0,0.0,0.0,0
52,1.0,4.172325e-07,7.212162e-06,5.9604645e-08,0
53,1.0,0.0,0.0,0.0,0
54,1.0,1.7881393e-07,5.9604645e-08,8.940697e-08,0
55,0.0011660159,0.9999828,0.0012582242,1.0579824e-05,1
56,0.999388,9.480119e-05,0.3023741,9.030104e-06,0
57,1.0,0.0,0.0,0.0,0
58,1.0,0.0,1.2516975e-06,0.0,0
59,0.0,0.0,0.0,1.0,3
60,0.99999905,2.0861626e-07,2.9802322e-08,0.004224032,0
61,0.9992572,1.32620335e-05,0.65134126,4.172325e-07,0
62,1.0,0.0,0.0,0.0,0
63,1.0,8.940697e-08,0.0,0.0,0
64,0.9992587,0.0011720955,0.00812611,0.0024338067,0
65,0.0,0.0,0.0,1.0,3
66,0.00051268935,0.0,0.0006079376,0.99997663,3
67,0.99915457,0.0013831258,0.004823208,0.0032880008,0
68,1.0,2.3841858e-07,3.668666e-05,1.1920929e-07,0
69,0.01187408,0.0006146729,0.00013408065,0.9998313,3
70,1.0,0.0,0.0,0.0,0
71,0.90242195,0.14367846,0.09878728,0.006313026,0
72,1.0,0.0,0.0,0.0,0
73,0.99999607,4.5359135e-05,5.4985285e-05,0.00040355325,0
74,1.0,3.2782555e-07,1.1920929e-07,2.9802322e-08,0
75,0.0,0.0,0.0,1.0,3
76,0.9999718,0.0010138154,0.0007112026,8.299947e-05,0
77,0.0,0.0,0.0,1.0,3
78,9.387732e-06,0.0,0.0,1.0,3
79,1.0,8.940697e-08,1.013279e-06,0.0,0
80,0.0,0.0,0.0,1.0,3
81,0.025183946,0.0010510385,0.0005556345,0.9987587,3
82,0.047779858,1.0460615e-05,6.327033e-05,0.9996386,3
83,0.99969375,0.00065770745,0.019705206,0.00019213557,0
84,0.9999033,0.0052066445,0.05228749,8.940697e-08,0
85,1.0,0.0,0.0,0.0,0
86,1.0,0.0,0.0,0.0,0
87,0.9999994,1.2218952e-06,0.00084868073,5.9604645e-07,0
88,0.99998176,0.00017753243,0.01107648,1.1533499e-05,0
89,0.99152476,0.0003735423,0.037129134,0.010100961,0
90,8.183718e-05,1.4901161e-07,2.9802322e-07,1.0,3
91,1.0,3.2782555e-07,1.66893e-06,2.0861626e-07,0
92,1.0,8.940697e-08,0.0,4.6789646e-06,0
93,0.99999005,5.7667494e-05,2.9921532e-05,0.00077983737,0
94,0.9970487,0.0037827492,0.0047370493,0.011718631,0
95,0.9999241,1.3917685e-05,0.15183043,8.940697e-07,0
96,0.60911316,0.01368767,0.8876264,0.0039013326,2
97,0.99999994,4.6789646e-06,1.0460615e-05,5.2154064e-06,0
98,0.9997208,0.0013228655,0.00071686506,0.005697638,0
99,0.03430569,0.0026455224,0.9991677,0.00044995546,2
100,5.066395e-06,0.0,5.9604645e-08,1.0,3
101,0.9981525,2.8669834e-05,3.2752752e-05,0.061540425,0
102,0.049256474,0.00016072392,0.02793929,0.97410387,3
103,1.0,2.3841858e-07,8.940697e-08,0.0,0
104,0.0,0.0,0.0,1.0,3
105,5.066395e-07,0.0,0.0,1.0,3
106,3.0219555e-05,1.1920929e-07,6.1690807e-06,1.0,3
107,0.99987626,4.7713518e-05,0.17735073,3.9339066e-06,0
108,1.0,0.0,0.0,0.0,0
109,0.0004890263,2.026558e-06,4.6491623e-06,0.9999998,3
110,1.0,0.0,8.046627e-07,0.0,0
111,0.99999964,7.7188015e-06,0.0004248023,2.2053719e-06,0
112,0.9999997,3.2186508e-06,3.4868717e-06,0.00013160706,0
113,0.9999008,0.00030329823,0.11860198,2.0861626e-07,0
114,1.0,0.0,0.0,0.0,0
115,1.0,0.0,0.0,0.0,0
116,1.0,0.0,0.0,0.0,0
117,1.0,0.0,0.0,0.0,0
118,0.0009357929,2.0861626e-07,3.874302e-07,0.9999999,3
119,1.0,1.0848045e-05,1.2010336e-05,0.0,0
120,0.0,0.0,0.0,1.0,3
121,1.0,0.0,0.0,0.0,0
122,0.9999902,5.3346157e-06,7.927418e-06,0.0014770031,0
123,0.96650374,0.01473105,0.16345787,0.017013818,0
124,0.99999917,2.592802e-05,1.3232231e-05,6.0409307e-05,0
125,0.99982107,0.09538022,0.00017768145,5.066395e-07,0
126,0.9075372,0.0005209148,0.978077,2.115965e-06,2
127,0.9813053,5.6952238e-05,5.0991774e-05,0.42779315,0
128,8.940697e-08,0.0,0.0,1.0,3
129,1.0,1.4901161e-07,1.4901161e-07,0.0,0
130,1.0,0.0,5.9604645e-08,0.0,0
131,0.10073146,1.0102987e-05,0.0033391118,0.97456557,3
132,1.0,0.0,0.0,0.0,0
133,3.993511e-06,0.0,0.0,1.0,3
134,0.0,0.0,0.0,1.0,3
135,1.0,0.0,1.7881393e-07,0.0,0
136,2.9802322e-08,0.0,0.0,1.0,3
137,0.34009466,0.0008019805,0.023578584,0.54757494,3
138,0.9999994,9.775162e-06,5.990267e-06,0.00015690923,0
139,0.04983768,0.9384905,0.25667563,7.864833e-05,1
140,0.036634088,0.003077656,0.62574154,0.78526795,3
141,0.99862134,3.2782555e-07,8.940697e-07,0.14124846,0
142,1.0,0.0,0.0,0.0,0
143,1.0,0.0,0.0,0.0,0
144,1.0,0.0,0.0,0.0,0
145,1.0,5.9604645e-08,3.0398369e-06,0.0,0
Class count,96,3,5,42
