second,sad,angry,happy,neutral,class
0,0.9430313,8.34465e-07,0.9996034,0.0,2
1,1.0,5.9604645e-08,1.1920929e-07,0.0,0
2,0.09560993,0.019574702,0.06300831,0.96342486,3
3,0.95542324,0.0009767413,0.82693136,0.00024318695,0
4,0.9999999,2.3245811e-05,0.00016537309,0.0,0
5,0.9993937,0.00010880828,0.0032908618,0.0008074641,0
6,1.0,8.6426735e-07,1.0430813e-06,0.0,0
7,0.9999864,0.007306874,0.0025745928,4.4703484e-07,0
8,0.0026178956,0.00012746453,0.99959373,0.009806633,2
9,5.596876e-05,0.9999669,0.016375542,1.5199184e-06,1
10,1.0,3.1232834e-05,2.4616718e-05,1.4901161e-07,0
11,0.9999982,9.775162e-06,1.0371208e-05,0.00039750338,0
12,0.9994636,0.0030820072,0.0035796463,0.002670616,0
13,0.019543052,5.0663948e-05,0.00013199449,0.9999291,3
14,0.0,0.0,5.3346157e-06,1.0,3
15,0.57584834,9.119511e-06,0.9997853,2.3841858e-07,2
16,0.562015,0.031346947,0.03643334,0.6246002,3
17,0.9997655,0.00060901046,0.004436195,0.0011069775,0
18,0.2605847,0.015867323,0.19810432,0.5555672,3
19,5.066395e-07,1.1920929e-07,1.0,0.0,2
20,0.99921834,0.004794687,0.0057988465,0.0032485723,0
21,0.084332526,0.0042106807,0.0029967725,0.9953456,3
22,0.1646991,0.005668342,0.012121201,0.96251976,3
23,0.0,1.0,0.0,0.0,1
24,1.0,0.0,0.0328179,0.0,0
25,0.012177169,2.8938055e-05,0.00010034442,0.99994206,3
26,0.0,1.0,0.0,0.0,1
27,0.23772436,0.036455363,0.7938578,0.13526633,2
28,2.3245811e-06,0.0,0.0,1.0,3
29,0.0020751953,0.99899876,0.038615108,0.00019058585,1
30,0.91733015,0.00062039495,0.5095473,0.002657622,0
31,0.9999999,6.875396e-05,3.874302e-05,1.1920929e-07,0
32,1.0,0.0,0.0,0.0,0
33,0.9999999,1.2636185e-05,0.00013908744,2.4735928e-06,0
34,1.0,1.4901161e-07,5.9604645e-08,0.0,0
35,0.9965843,0.0005531609,0.20291302,0.00026360154,0
36,0.05211565,0.002262503,0.99906516,0.00016370416,2
37,0.0,0.009315699,0.9999999,0.0,2
38,1.0,2.503395e-06,0.001242578,1.1920929e-07,0
39,0.9999999,1.0102987e-05,2.3454428e-05,2.682209e-06,0
40,1.7881393e-07,0.0,0.070365965,0.9999997,3
41,0.9999999,2.938509e-05,7.7307224e-05,6.854534e-07,0
42,0.0018762946,0.87942094,0.8428575,2.0772219e-05,1
43,0.97997415,0.0033578873,0.46569365,0.00021415949,0
44,8.940697e-08,5.9604645e-08,1.0,0.0,2
45,0.9961702,0.00460431,0.0075793862,0.016701996,0
46,0.99999976,1.1533499e-05,7.3611736e-06,1.8149614e-05,0
47,0.9856856,0.0083936155,0.81863225,2.503395e-06,0
48,1.0,1.0430813e-06,2.4199486e-05,0.0,0
49,0.057685107,0.003469199,0.011285335,0.9933032,3
50,0.0,0.0,0.0,1.0,3
51,0.9999328,0.00038963556,0.0008555651,0.0011810064,0
52,1.0,8.940697e-08,8.940697e-08,0.0,0
53,0.06883103,0.90100265,0.41839278,9.953976e-06,1
54,0.0,1.0,0.0,0.0,1
55,1.0,0.0,2.3841858e-07,0.0,0
56,0.9999779,0.0018028617,0.0058110654,1.5795231e-06,0
57,1.0,3.695488e-06,0.00010719895,0.0,0
58,1.0,1.4901161e-07,2.9802322e-07,0.0,0
59,0.99274194,0.023776203,0.35655868,1.1563301e-05,0
60,0.44733492,0.026213408,0.9404658,0.0015234351,2
61,0.98384035,0.08178666,0.01551488,0.0050369203,0
62,0.9998914,9.9271536e-05,0.001022011,0.00089505315,0
63,1.0,0.0,1.1920929e-07,0.0,0
64,0.69639206,0.069637746,0.9492067,2.104044e-05,2
65,0.9893491,0.004254371,0.010703266,0.042237043,0
66,0.9999992,7.301569e-06,0.019838184,1.1920929e-07,0
67,0.17476612,0.027196616,0.99353135,4.401803e-05,2
68,0.98484546,5.9247017e-05,0.0009037852,0.04773423,0
69,1.0,0.0,0.0,0.0,0
70,0.007132679,0.015095204,0.9979994,0.002589047,2
71,0.094091654,0.9143366,0.09067166,0.0143176615,1
72,0.00025734305,6.869435e-05,1.0,0.0,2
73,0.99989253,0.002197802,0.0014766455,0.00095683336,0
74,0.0821403,0.033227593,0.9766543,0.005754024,2
75,0.9987066,0.0015169382,0.0011644363,0.013439447,0
76,1.0,8.6426735e-07,1.7881393e-07,0.0,0
77,0.99490803,0.0005110502,0.01128757,0.010399491,0
78,1.0,0.0,1.4901161e-07,0.0,0
79,0.0015182793,2.9742718e-05,0.00012987852,0.9999952,3
80,0.00067543983,0.009226054,0.9998233,0.00014361739,2
81,0.9999988,4.1514635e-05,0.0007086098,5.4836273e-06,0
82,0.9967836,0.010563433,0.051578075,0.0027459562,0
83,0.0025740862,0.99906343,0.04771033,0.0002491176,1
84,0.28712535,0.00023639202,0.00048828125,0.9867537,3
85,0.106313944,0.03316036,0.047737986,0.9531845,3
86,0.009937376,0.010879129,0.9981979,0.0022430122,2
87,1.0,1.1920929e-07,8.940697e-08,0.0,0
88,0.22006437,0.0021598935,0.68020123,0.19241264,2
89,0.99864084,0.0003593266,0.038100988,0.00127545,0
90,0.9999671,0.00096186996,0.006622523,4.5627356e-05,0
91,0.99974954,0.00055998564,0.001013577,0.0024234354,0
92,1.0,0.0,2.0861626e-07,0.0,0
93,0.0016452968,0.016455293,0.9994576,0.0004146695,2
94,1.0,2.9802322e-08,2.9802322e-08,0.0,0
95,0.1719734,0.005195558,0.98440135,0.0037347078,2
96,1.0,1.4036894e-05,6.1541796e-05,0.0,0
97,0.0024384558,0.9998603,0.011060029,3.540516e-05,1
98,0.9999809,9.23872e-07,0.38803017,0.0,0
99,1.0,0.0,1.4901161e-07,0.0,0
100,0.0006532967,0.15083751,0.99593914,0.00041761994,2
101,0.32899052,0.0136547685,0.30022857,0.42346397,3
102,0.9999702,0.00071004033,0.0007727146,0.00024864078,0
103,1.0,0.0,0.0,0.0,0
104,0.99999994,0.0,0.6462978,0.0,0
105,0.00045523047,2.9206276e-06,1.0,0.0,2
106,1.0,0.0,0.0,0.0,0
107,0.34271157,0.015173942,0.10623303,0.73558056,3
108,0.99968123,0.0074515045,0.008087218,0.000521332,0
109,0.9224092,0.035651922,0.5311966,0.0027738512,0
110,0.16806406,0.00024804473,0.0009151697,0.98935413,3
111,0.00026404858,1.2993813e-05,0.058080792,0.9999157,3
112,0.0,1.0,0.0,0.0,1
113,0.76939976,0.00033590198,0.0007172525,0.782284,3
114,1.0,0.0,0.00015318394,0.0,0
115,5.066395e-07,0.0,1.0,0.0,2
116,0.90790236,0.0011756718,0.0022223294,0.504917,0
117,0.015810609,0.00048616529,0.05568731,0.99600196,3
118,0.999911,0.00044298172,0.0020022988,0.000769794,0
119,1.0,0.0,2.0861626e-07,0.0,0
120,1.0,8.940697e-08,5.9604645e-08,0.0,0
121,0.045742273,0.00998041,0.9863807,0.020953178,2
122,1.0,2.115965e-06,4.5269728e-05,0.0,0
123,0.039598912,0.048804313,0.4120468,0.82343125,3
124,0.9999999,2.9802322e-06,0.0064409077,0.0,0
125,1.0,0.0,0.0,0.0,0
126,0.9998615,0.0024460256,0.0020003915,0.00038194656,0
127,0.99998164,0.0008288026,0.01065135,2.1755695e-06,0
128,0.0037780404,0.9983512,0.0436275,0.00010123849,1
129,0.9664474,1.1920929e-05,6.2942505e-05,0.5237415,0
130,1.0,3.2782555e-07,6.368756e-05,1.7881393e-07,0
131,0.0008690655,0.99840176,0.1380628,6.377697e-06,1
132,0.9999748,2.002716e-05,0.004387051,4.6163797e-05,0
133,1.0,0.0,8.940697e-08,2.9802322e-08,0
134,0.97007096,0.06725845,0.08683619,0.022839934,0
135,1.0,0.0,0.0,0.0,0
136,1.0758638e-05,0.0,1.0,0.0,2
137,0.99987805,0.0,0.99564457,0.0,0
138,2.9802322e-08,1.0,0.0016701818,0.0,1
139,0.0013160408,0.00011494756,0.9999954,2.8908253e-06,2
140,0.97013307,0.042193502,0.05594015,0.030651778,0
141,1.7881393e-07,3.5762787e-07,1.0,0.0,2
142,1.0,0.0,0.0,0.0,0
143,0.057149112,0.36553764,0.85750616,0.0017160177,2
144,1.0,0.0,0.0,0.0,0
145,5.9604645e-08,3.2782555e-07,1.0,0.0,2
146,1.0,5.9604645e-08,8.046627e-07,0.0,0
147,0.99978757,0.00051391125,0.0023131669,0.0005694032,0
148,0.0,1.0,0.0,0.0,1
149,1.0,0.0,0.0,0.0,0
150,0.056423903,0.022008866,0.0755828,0.97273815,3
