second,sad,angry,happy,neutral,class
0,0.0,1.0,1.5974045e-05,0.0,1
1,1.0,0.0,0.0,0.0,0
2,0.9999998,2.4735928e-05,0.00016257167,2.9802322e-07,0
3,0.0,5.9604645e-08,1.0,0.0,2
4,1.0,0.0,0.0,0.0,0
5,1.0,0.0,0.0,0.0,0
6,0.80281496,0.00014346838,3.33786e-06,0.7485051,0
7,1.0,4.3809414e-06,1.9073486e-06,1.7881393e-07,0
8,0.24113,0.85602903,0.11705476,0.010046989,1
9,1.0,0.0,0.0,0.0,0
10,0.09710711,0.96353173,0.04042515,0.00424397,1
11,1.0,0.0,0.0,0.0,0
12,0.0,1.0,0.0,0.0,1
13,1.0,0.0,0.0,0.0,0
14,0.017716497,0.8923888,0.426346,0.0030526519,1
15,1.0,4.798174e-06,2.3245811e-06,0.0,0
16,0.99693286,0.0,0.99980074,0.0,2
17,0.68581915,0.07627216,0.0005095601,0.2245205,0
18,3.6001205e-05,2.0116568e-05,1.0,0.0,2
19,9.703636e-05,1.013279e-06,0.020846158,0.9999836,3
20,1.0,0.0,0.0,0.0,0
21,1.8537045e-05,0.85607105,0.37361997,0.5388357,1
22,1.0,0.0,0.0,0.0,0
23,1.0,0.0,0.0,0.0,0
24,0.0007881522,3.3974648e-06,2.7537346e-05,0.9999992,3
25,0.04169327,0.9338326,0.08607954,0.0007776916,1
26,0.99620056,0.0027066171,0.0027587414,0.012226045,0
27,1.0,7.0631504e-06,0.00013425946,4.4703484e-07,0
28,1.0,8.6426735e-07,9.536743e-07,0.0,0
29,1.0,5.9604645e-08,0.10481715,0.0,0
30,1.0,0.0,0.0,0.0,0
31,0.0,0.0,0.0,1.0,3
32,0.99423105,0.0030328035,0.10514161,0.0025013387,0
33,0.7251122,0.810269,0.008898288,9.679794e-05,1
34,1.0,0.0,0.0,0.0,0
35,0.9994958,0.00039690733,0.0017678738,0.0038756728,0
36,0.5973072,0.25730753,0.11249712,0.020579338,0
37,0.9999995,0.00025340915,0.0001707375,3.516674e-06,0
38,1.0,0.0,0.0,0.0,0
39,0.02240774,0.21368778,0.881997,0.006039083,2
40,0.9997785,0.0019277334,5.066395e-07,0.000141114,0
41,2.6226044e-06,0.7107943,0.99980724,0.0,2
42,1.0,0.0,0.0,0.0,0
43,0.88775265,0.94827926,0.00019991398,9.4771385e-06,1
44,0.02277261,0.00059756637,0.3254196,0.96848977,3
45,1.0,0.0,0.0,0.0,0
46,1.0,0.0,0.0,0.0,0
47,0.9998523,6.598234e-05,0.036669344,5.364418e-05,0
48,4.7683716e-07,0.9979697,0.8829434,0.0,1
49,0.13798863,0.00015750527,0.9926852,0.002643019,2
50,0.0160577,0.99962157,0.001470089,1.3798475e-05,1
51,0.9999975,0.00025093555,0.0056621134,1.6093254e-06,0
52,0.011714518,0.28705287,0.9472614,0.0010073185,2
53,0.999994,1.2397766e-05,5.4240227e-06,0.0020599663,0
54,1.0,0.0,0.0,0.0,0
55,0.9996737,0.0014178753,0.010029435,0.0006517172,0
56,0.9995905,2.142787e-05,1.1622906e-05,0.03628227,0
57,0.99784136,0.0019890368,0.0050479174,0.0100645125,0
58,0.99999505,4.1037798e-05,0.000106453896,0.00015771389,0
59,1.0,0.0,0.0,0.0,0
60,0.9999998,0.00019136071,0.0002411604,2.0861626e-07,0
61,0.0027522445,0.99805975,0.045997113,7.492304e-05,1
62,0.9999949,0.0005776882,0.00452441,5.9604645e-08,0
63,1.0,0.0,0.0,0.0,0
64,0.6989486,0.10552314,0.19001323,0.13927025,0
65,0.92603666,0.00062957406,0.8981247,9.649992e-05,0
66,1.0,0.0,0.0,0.0,0
67,1.0,8.940697e-08,5.8710575e-06,0.0,0
68,0.9999818,8.1300735e-05,1.4781952e-05,0.0006479621,0
69,1.0,0.0,2.0861626e-07,0.0,0
70,0.9999999,2.6881695e-05,7.265806e-05,3.7550926e-06,0
71,0.00082963705,0.99035615,0.32192433,9.897351e-05,1
72,1.0,0.0019503236,1.6152859e-05,0.0,0
73,0.99999994,5.8710575e-06,6.02901e-05,4.6491623e-06,0
74,0.99995834,0.00019320846,0.0008638203,0.00068998337,0
75,0.9999962,0.00010177493,0.0002796948,7.158518e-05,0
76,5.662441e-07,2.193451e-05,1.0,0.0,2
77,0.98414314,0.0020734966,0.0018657744,0.094970256,0
Class count,53,13,8,4
