second,sad,angry,happy,neutral,class
0,1.0,0.0,0.0,0.0,0
1,0.9437567,0.002342105,0.30242878,0.0035254657,0
2,0.9863679,0.011889607,0.037290692,0.028341472,0
3,0.99882865,0.003926873,0.0046724975,0.009537011,0
4,1.0,0.0,0.0,0.0,0
5,0.27912772,0.0014469326,0.32564425,0.49515474,3
6,0.0027158856,0.000307858,0.0023221374,0.9999256,3
7,0.9990933,0.0019708574,0.01630789,0.0018194616,0
8,0.51583606,0.00019410253,0.00063064694,0.884799,3
9,1.0,0.0,1.4305115e-06,0.0,0
10,0.997613,0.00016540289,0.5707962,6.556511e-06,0
11,1.1622906e-06,1.4901161e-06,1.0,0.0,2
12,0.9858694,3.7252903e-06,0.9958116,5.9604645e-08,2
13,1.0,0.0,0.0,0.0,0
14,1.0,0.0,0.0,0.0,0
15,0.97433054,2.1457672e-06,0.15218738,0.0013519526,0
16,0.4404657,0.0027713478,0.018871516,0.7370049,3
17,0.9924108,0.001864016,0.037887722,0.0052351058,0
18,0.001894623,1.1920929e-07,3.2484531e-06,0.9999982,3
19,0.16636795,0.0038335621,0.9931969,5.596876e-05,2
20,1.0,0.0,0.0,0.0,0
21,0.0028128028,0.001082629,0.0026668012,0.999844,3
22,0.11567971,0.95886886,0.009434938,0.0054774582,1
23,0.005835712,1.1026859e-06,6.094575e-05,0.9999852,3
24,1.0,0.0,0.0,0.0,0
25,1.0,0.0,0.0,0.0,0
26,1.0,0.0,0.0,0.0,0
27,5.9604645e-08,0.0,0.0,1.0,3
28,0.9999999,8.136034e-06,0.0017481148,2.9802322e-07,0
29,0.9999566,1.6748905e-05,0.018054187,1.6540289e-05,0
30,1.0,0.0,0.0,0.0,0
31,0.9988924,0.009174734,0.008014798,0.004234582,0
32,0.0048460662,0.0038350224,0.99864244,0.0048006177,2
33,0.25751758,0.0014756024,0.015307784,0.9105189,3
34,0.99932456,0.00103423,0.011410385,0.0026097894,0
35,1.0,0.0,2.9802322e-08,0.0,0
36,0.034775674,4.8577785e-06,0.99999845,0.0,2
37,0.99999964,1.180172e-05,0.00053977966,1.5497208e-06,0
38,0.07676974,0.5808374,0.49436447,0.012743533,1
39,1.0,0.0,0.0,0.0,0
40,1.0,0.0,6.979704e-05,0.0,0
41,0.9987552,0.00083333254,0.0032221675,0.0023881495,0
42,0.15567541,2.3156404e-05,3.4213066e-05,0.99827623,3
43,0.999065,0.032830834,0.00031912327,0.00010329485,0
44,1.0,0.0,0.0,0.0,0
45,0.36908528,0.0037071705,0.11265445,0.5476596,3
46,1.0,1.7881393e-07,3.0994415e-06,0.0,0
47,0.9963734,0.0,0.9995785,0.0,2
48,0.9999999,7.4505806e-07,0.00021967292,1.5497208e-06,0
49,0.9973882,0.0009635687,0.33852732,6.252527e-05,0
50,1.0,0.0,0.0,0.0,0
51,0.99993753,4.9084425e-05,0.0004312992,0.0012847185,0
52,0.9917353,0.021711856,0.026975334,0.00027903914,0
53,1.0,2.9802322e-08,1.4901161e-07,1.1920929e-07,0
54,0.37859637,2.0861626e-07,0.9999989,0.0,2
55,0.23633751,0.001962304,0.24569798,0.52116024,3
56,1.0,0.0,0.0,0.0,0
57,1.0,0.0,8.940697e-08,0.0,0
58,0.65774864,0.0011675656,0.9918941,3.4481287e-05,2
59,0.7499156,0.12745395,0.48796204,5.9604645e-06,0
60,1.0,1.4901161e-07,3.2782555e-07,4.1127205e-06,0
61,0.9999994,1.5795231e-06,0.0004887879,4.9471855e-06,0
62,1.0,8.940697e-08,1.4901161e-07,1.4603138e-06,0
63,0.99999285,5.9634447e-05,0.0009420216,2.8073788e-05,0
64,1.0,0.0,0.0,0.0,0
65,0.9983705,0.0029562414,0.0041291416,0.005247116,0
66,0.008517444,0.0001296699,0.0053427517,0.99952966,3
67,0.99940073,0.003544867,0.010095775,0.0026946664,0
68,0.00033667684,0.00022530556,0.9999836,0.00029543042,2
69,0.07125759,2.9802322e-08,0.9999999,0.0,2
70,0.99999774,0.00083208084,8.5532665e-06,1.296401e-05,0
71,0.00019931793,0.0,1.4901161e-07,1.0,3
72,1.0,3.874302e-07,5.725026e-05,2.682209e-07,0
73,1.0,0.0,0.0,0.0,0
74,0.78244406,0.0006697178,0.78164554,0.0034954548,0
75,1.0,7.301569e-06,0.00033655763,2.9802322e-08,0
76,0.24214122,0.060525626,0.75371784,0.09935331,2
77,0.23609501,0.0017335117,0.0006339848,0.98038584,3
78,1.0,0.0,0.00012233853,0.0,0
79,0.07000902,0.027916074,0.98563796,0.0025360286,2
80,0.006109506,0.0023874044,0.04131329,0.997715,3
81,1.0,0.0,2.9802322e-08,0.0,0
82,1.0,0.0,0.0,0.0,0
83,0.0,0.0,1.0,0.0,2
84,1.0,0.0,0.0,0.0,0
85,0.012884319,0.00011566281,0.0015359521,0.99965143,3
86,0.68428236,0.0015121698,0.022015125,0.4234091,0
87,0.9998766,0.0009776056,0.0024938881,0.0007261336,0
88,0.7484308,0.026371151,0.756029,0.0013752878,2
89,0.00025081635,0.00011521578,0.9999995,4.4703484e-07,2
90,1.0,0.0,1.1920929e-07,0.0,0
91,1.0,0.0,0.0,0.0,0
92,0.9998245,6.03199e-05,0.17146263,6.4969063e-06,0
93,0.9107832,0.0069184303,0.78767425,0.00011098385,0
94,0.050974995,0.0084377825,0.03458613,0.98522425,3
95,1.0,0.0,0.0,0.0,0
Class count,61,2,15,18
