second,sad,angry,happy,neutral,class
0,0.12685618,0.8783417,0.13348016,0.0011898875,1
1,0.0005263686,0.00056293607,0.99999344,1.1920929e-06,2
2,7.4237585e-05,6.854534e-07,1.0,0.0,2
3,0.49241975,0.05723411,0.57442427,0.025578767,2
4,1.0,0.0,0.0,0.0,0
5,0.008470565,0.98935133,0.020035952,0.06334567,1
6,0.023408532,0.038791656,0.99691266,5.5134296e-05,2
7,0.0,0.0,0.0,1.0,3
8,0.0009600818,0.0,1.0,0.0,2
9,1.0,9.536743e-07,2.0563602e-06,0.0,0
10,4.926324e-05,0.00046172738,0.99999976,2.9802322e-08,2
11,0.060145915,0.20895699,0.908442,0.0023387074,2
12,1.0,0.0,0.00011563301,0.0,0
13,0.28118336,0.0005017817,0.012141496,0.7859375,3
14,0.9977138,8.779764e-05,0.7460889,1.4603138e-06,0
15,0.9999828,0.0,0.89936256,0.0,0
16,0.9824443,0.0024264157,0.4507744,0.00031596422,0
17,2.2530556e-05,1.1920929e-07,2.5629997e-06,1.0,3
18,0.0,0.0,0.0,1.0,3
19,0.00014272332,0.0,0.99998534,0.008885384,2
20,0.99999726,6.2584877e-07,0.07367951,0.0,0
21,4.0590763e-05,0.0003991723,0.99524724,0.119009286,2
22,0.9978386,4.053116e-06,0.60558325,2.1755695e-06,0
23,0.0054341257,0.9989285,0.03508851,4.5895576e-06,1
24,0.09491897,3.4570694e-06,0.9999975,0.0,2
25,0.008720547,0.00042799115,0.999312,0.0009098351,2
26,1.0,0.0,0.00016000867,0.0,0
27,0.0,0.0,0.0,1.0,3
28,0.010969996,0.00033041835,0.9999621,1.4901161e-07,2
29,0.9924203,0.07152006,0.011439055,0.0014912188,0
30,0.13509014,0.015708953,0.034608603,0.96159256,3
31,0.0,0.0,1.0,0.0,2
32,0.5120978,0.0019372702,0.5287283,0.09575918,2
33,0.18603554,0.0002554357,0.024516255,0.95198315,3
34,0.0,0.0,1.0,1.7881393e-07,2
35,0.95766056,1.2457371e-05,0.07259256,0.0057789087,0
36,0.0,0.0,1.0,0.0,2
37,0.0,0.0,0.0,1.0,3
38,0.96924883,0.0030859113,0.011764973,0.08864689,0
39,0.058458447,7.1525574e-07,0.9999993,0.0,2
40,0.0,0.0,0.0,1.0,3
41,2.3841858e-07,0.0,1.0,0.0,2
42,0.0,0.0,1.0,0.0,2
43,0.00015816092,0.00077947974,0.9999996,2.9802322e-08,2
44,0.00029942393,2.9802322e-08,1.8775463e-06,1.0,3
45,1.0,0.0,0.0074795485,0.0,0
46,3.3646822e-05,0.0,0.0,1.0,3
47,1.0,1.1920929e-07,0.004234612,0.0,0
48,0.99425375,0.001622647,0.026626289,0.008979917,0
49,0.94151324,0.080801964,0.27780354,0.0016688406,0
50,0.14563692,0.002272725,0.95919025,0.035253137,2
51,0.0,0.0,0.0,1.0,3
52,0.99948186,0.0001552105,0.07557303,7.4118376e-05,0
53,0.9322848,6.854534e-07,0.999774,0.0,2
54,0.0,0.0,1.0,0.0,2
55,0.0004876852,4.4703484e-06,1.6182661e-05,0.9999996,3
56,0.9999776,8.46386e-06,5.7160854e-05,0.0012919307,0
57,0.0,0.0,1.0,0.0,2
58,0.9999039,0.0037170053,0.0024816394,0.000112861395,0
59,1.0,0.0,0.00038662553,0.0,0
60,1.859665e-05,0.0,1.0,0.0,2
61,1.7881393e-07,0.0,0.9733242,0.9999865,3
62,2.9802322e-08,0.0,1.0,0.0,2
63,8.940697e-08,1.7881393e-07,1.0,0.0,2
64,9.298325e-06,0.99999964,5.5730343e-06,0.0005347729,1
65,1.0,0.0,0.00016778708,0.0,0
66,0.11615619,0.00082826614,0.0105160475,0.9679524,3
67,5.9604645e-08,6.2584877e-07,1.0,0.0,2
68,0.0,0.0,1.0,0.0,2
Class count,21,4,29,15
