second,sad,angry,happy,neutral,class
0,0.9904345,0.0098465085,0.081641704,0.0016448796,0
1,0.9859574,0.000104010105,0.21181145,0.00057700276,0
2,1.0,0.0,0.0,0.0,0
3,0.9951259,1.5050173e-05,0.9606432,3.2782555e-07,0
4,1.0,0.0,0.0,0.0,0
5,0.025891185,1.5735626e-05,8.434057e-05,0.9998894,3
6,0.0,0.0,0.0,1.0,3
7,1.0,0.0,0.0,0.0,0
8,1.0,0.0,1.0877848e-05,0.0,0
9,0.47938037,0.6508029,0.47552755,5.9962273e-05,1
10,0.99231505,0.00018182397,0.028982371,0.004605353,0
11,0.0,0.0,0.0,1.0,3
12,0.98769,0.0012558401,0.0018763244,0.089003146,0
13,1.0,1.9967556e-06,9.536743e-07,0.0,0
14,1.0,0.0,0.0013742745,0.0,0
15,0.070605844,0.00014051795,0.00047677755,0.9977256,3
16,0.0006004572,0.0011737943,0.024366736,0.9996778,3
17,1.0,0.0,0.0,0.0,0
18,2.026558e-06,0.0,1.2725592e-05,1.0,3
19,1.0,7.146597e-05,0.001258254,0.0,0
20,1.0,0.0,0.00091031194,0.0,0
21,0.00093460083,2.0861626e-07,0.9999999,2.3841858e-07,2
22,0.08212161,0.00011634827,0.00039422512,0.9979197,3
23,0.04403004,0.11198723,0.9879425,1.7106533e-05,2
24,0.99150425,1.9431114e-05,0.8536291,4.4703484e-07,0
25,1.0,0.0,0.0020188093,0.0,0
26,0.0,0.0,0.0,1.0,3
27,0.0,0.0,0.9994639,0.999996,3
28,0.0,0.0,0.0,1.0,3
29,1.0,0.0,0.0,0.0,0
30,0.99972,0.00013944507,0.07009438,2.6673079e-05,0
31,4.681945e-05,0.0,1.0,0.0,2
32,0.9534276,7.0126494e-05,4.2730106e-05,0.6588363,0
Class count,19,1,3,10
