second,sad,angry,happy,neutral,class
0,3.784895e-06,0.9999999,0.0019902885,0.0,1
1,0.011407882,0.34566945,0.9573566,0.00040122867,2
2,0.99973977,0.0010755658,0.010178089,7.7575445e-05,0
3,0.9942053,0.00020036101,0.7154995,9.4771385e-06,0
4,0.0013874769,0.0010346472,0.992344,0.50415456,2
5,1.0,0.0,0.0,0.0,0
6,0.00082445145,0.68217546,0.938705,0.00017043948,2
7,0.75474143,0.15972874,0.15079144,0.0730685,0
8,0.99991256,4.580617e-05,2.56598e-05,0.0058684945,0
9,1.0,2.3841858e-07,2.977252e-05,0.0,0
10,0.15570366,0.00943011,0.3800622,0.6531537,3
11,0.9999924,0.0010012984,0.00061407685,5.185604e-06,0
12,1.0,1.1920929e-07,0.007210225,0.0,0
13,0.9955877,0.018130034,0.103247315,0.0008946359,0
14,0.0,0.000105798244,1.0,0.0,2
15,1.0,1.2546778e-05,2.413988e-06,0.0,0
16,0.36334157,0.025435358,0.87985766,0.014067858,2
17,1.0,2.4437904e-06,2.95043e-06,2.0861626e-07,0
18,0.009311974,0.00038817525,0.99974406,0.00043046474,2
19,0.99851537,7.1525574e-07,0.9860703,0.0,0
20,1.0,0.0,0.0,0.0,0
21,0.0,1.0,0.0,0.0,1
22,1.0,1.7881393e-07,1.1622906e-06,0.0,0
23,0.00096040964,8.106232e-06,0.9999997,1.7881393e-07,2
24,8.940697e-08,0.0,1.0,0.0,2
25,0.015265226,0.0014986396,0.99956906,2.5242567e-05,2
26,4.196167e-05,0.00191769,0.9999969,3.3676624e-06,2
27,1.0,0.0,0.0,0.0,0
28,1.463294e-05,2.9802322e-06,1.0,1.1920929e-07,2
29,0.9999999,4.4703484e-06,5.26309e-05,1.052022e-05,0
30,0.008386582,0.9654221,0.24794197,0.00022494793,1
31,1.8388033e-05,1.5795231e-06,0.9999999,9.387732e-06,2
32,0.23803249,0.7326951,0.06537011,0.024085462,1
33,0.9999969,0.00017774105,0.004444301,1.4901161e-07,0
34,1.0,1.1831522e-05,0.0,1.4901161e-07,0
35,0.00041517615,0.9999403,0.0066996217,6.556511e-07,1
36,0.0056402087,0.0065403283,0.9651034,0.4668738,2
37,0.9999968,0.004306227,0.020658076,0.0,0
38,0.15978938,0.6883399,0.24539429,0.027701646,1
39,0.0,0.0,1.0,0.0,2
40,1.0,0.0,1.7881393e-07,0.0,0
41,1.0,0.0,7.748604e-07,0.0,0
42,0.0066820383,0.003115058,0.99969065,0.00017178059,2
43,0.943071,0.00049990416,0.91196746,0.000111967325,0
44,0.9999465,0.002017796,0.0023846626,0.00022950768,0
45,0.0054057837,0.9650646,0.19749448,0.013279378,1
46,0.12795588,0.070175886,0.20220941,0.75299686,3
47,0.00032883883,0.012651712,0.9995887,0.0005747974,2
48,0.032123744,0.05315107,0.99199146,0.00056526065,2
49,0.9996348,0.0005118251,0.020764291,0.000439018,0
50,5.2154064e-06,1.2308359e-05,1.0,1.1920929e-07,2
51,1.0,0.0,7.8588724e-05,0.0,0
52,0.023733407,7.987022e-06,0.999995,3.5762787e-07,2
53,0.99607396,0.0039696097,0.3506945,2.9176474e-05,0
54,0.013867825,0.00027424097,0.9999627,9.119511e-06,2
55,6.377697e-06,0.826115,0.9964299,0.0,2
56,1.0,2.9802322e-07,5.2452087e-06,0.0,0
57,0.009129226,0.0070847273,0.9896582,0.07478905,2
58,0.99993074,0.0036394596,0.0040946603,0.0001681745,0
59,0.9999979,0.00015753508,0.00095298886,7.1823597e-06,0
60,0.24509874,0.016812742,0.38560638,0.46388295,3
61,0.82259774,5.9604645e-08,0.99994874,0.0,2
62,0.00046759844,0.10747704,0.9975431,0.00010251999,2
63,0.99998635,0.00019177794,6.276369e-05,0.00072437525,0
64,0.0050816536,0.99589396,0.09524444,5.3167343e-05,1
65,0.050373733,0.9505882,0.062267512,0.03760153,1
66,0.03028816,0.012466103,0.99178314,0.0061274767,2
67,0.9999994,2.026558e-05,0.00012508035,5.8710575e-06,0
68,0.00013932586,0.9999862,0.005795419,7.033348e-06,1
69,0.99999607,0.00010615587,0.016456306,9.23872e-07,0
70,1.0,0.0,0.0,0.0,0
71,1.2516975e-06,0.98779833,0.93712634,0.0,1
72,0.9999987,0.004498124,0.0,0.0,0
73,5.722046e-06,0.00024193525,0.001990378,0.99999756,3
74,0.0,1.0,0.00026220083,0.0,1
75,0.9973513,0.0775927,0.009864479,0.0017315447,0
76,0.9999981,5.364418e-07,0.14487761,0.0,0
77,0.0,1.0,0.0,0.0,1
78,1.0,8.940697e-08,0.001437515,0.0,0
79,4.836917e-05,0.000102579594,0.9999988,0.000109523535,2
80,0.9984503,2.2619963e-05,0.91172487,0.0,0
81,0.85384893,0.06215149,0.1312994,0.15075079,0
82,0.018449366,0.0014451444,0.99956644,0.0001784563,2
83,0.76819205,0.0007389486,0.98879963,4.827976e-06,2
84,0.9999579,0.0013811886,0.00075772405,0.00035363436,0
85,0.9998847,0.00021129847,0.0047724843,0.00035479665,0
86,0.0015621483,0.9799193,0.3691885,9.199977e-05,1
